#TFM v1.0.8 by tritical
field = bottom
crc32 = 23659eeb
0 c - [0]
1 c - [0]
2 p - [0]
3 p - [0]
4 c - [2]
5 c - [0]
6 c - [0]
7 p - [1]
8 p - [9]
9 c - [0]
10 c - [3]
11 c - [5]
12 p - [2]
13 p - [4]
14 c - [6]
15 c - [3]
16 c - [6]
17 p - [3]
18 p - [3]
19 c - [4]
20 c - [6]
21 c - [4]
22 p - [6]
23 p - [9]
24 c - [3]
25 c - [6]
26 c - [4]
27 p - [6]
28 p - [6]
29 c - [3]
30 c - [4]
31 c - [6]
32 p - [6]
33 p - [6]
34 c - [6]
35 c - [1]
36 c - [4]
37 p - [4]
38 p - [4]
39 c - [6]
40 c - [4]
41 c - [9]
42 p - [9]
43 p - [4]
44 c - [5]
45 c - [5]
46 c - [6]
47 p - [5]
48 p - [6]
49 c - [4]
50 c - [3]
51 c - [4]
52 p - [8]
53 p - [9]
54 c - [6]
55 c - [3]
56 c - [4]
57 p - [5]
58 p - [5]
59 c - [6]
60 c - [3]
61 c - [3]
62 p - [3]
63 p - [2]
64 c - [6]
65 c - [2]
66 c - [3]
67 p - [6]
68 p - [3]
69 c - [2]
70 c - [3]
71 c - [5]
72 p - [6]
73 p - [4]
74 c - [5]
75 c - [3]
76 c - [4]
77 p - [4]
78 p - [3]
79 c - [9]
80 c - [7]
81 c - [2]
82 p - [3]
83 p - [2]
84 c - [4]
85 c - [5]
86 c - [3]
87 p - [2]
88 p - [3]
89 u - [10]
90 p - [10]
91 c - [5]
92 c - [7]
93 c - [17]
94 p - [16]
95 p - [10]
96 c - [7]
97 c - [7]
98 c - [5]
99 p - [6]
100 p - [6]
101 c - [5]
102 c - [16]
103 c - [6]
104 p - [9]
105 p - [6]
106 c - [7]
107 c - [6]
108 c - [4]
109 p - [5]
110 p - [6]
111 c - [7]
112 c - [9]
113 c - [6]
114 p - [5]
115 p - [10]
116 c - [13]
117 c - [5]
118 c - [7]
119 p - [13]
120 p - [5]
121 c - [7]
122 c - [6]
123 c - [5]
124 p - [6]
125 p - [9]
126 c - [5]
127 c - [9]
128 c - [4]
129 p - [6]
130 p - [6]
131 c - [6]
132 c - [11]
133 c - [9]
134 p - [6]
135 p - [8]
136 c - [10]
137 c - [6]
138 c - [11]
139 p - [12]
140 p - [3]
141 c - [8]
142 c - [10]
143 c - [5]
144 p - [19]
145 p - [17]
146 c - [5]
147 c - [6]
148 c - [12]
149 c - [5]
150 c - [0]
151 p - [1]
152 p - [2]
153 c - [0]
154 c - [2]
155 c - [10]
156 p - [3]
157 p - [3]
158 c - [3]
159 c - [8]
160 c - [4]
161 p - [8]
162 p - [2]
163 c - [5]
164 c - [4]
165 c - [3]
166 p - [4]
167 p - [4]
168 c - [1]
169 c - [2]
170 c - [1]
171 p - [3]
172 p - [2]
173 c - [3]
174 c - [10]
175 c - [8]
176 p - [9]
177 p - [4]
178 c - [4]
179 c - [3]
180 c - [3]
181 p - [2]
182 p - [5]
183 c - [2]
184 c - [4]
185 c - [2]
186 p - [3]
187 p - [3]
188 c - [5]
189 c - [1]
190 c - [7]
191 p - [7]
192 p - [3]
193 c - [1]
194 c - [0]
195 c - [1]
196 p - [2]
197 p - [0]
198 c - [3]
199 c - [1]
200 c - [5]
201 p - [8]
202 p - [2]
203 c - [2]
204 c - [17]
205 c - [2]
206 p - [2]
207 p - [5]
208 c - [5]
209 u - [3]
210 p - [3]
211 c - [2]
212 c - [1]
213 c - [1]
214 p - [2]
215 p - [11]
216 c - [4]
217 c - [14]
218 c - [8]
219 p - [9]
220 p - [5]
221 c - [14]
222 c - [16]
223 c - [7]
224 p - [6]
225 p - [13]
226 c - [5]
227 c - [3]
228 c - [2]
229 p - [2]
230 p - [3]
231 c - [5]
232 c - [4]
233 c - [5]
234 p - [6]
