#TFM v1.0.8 by tritical
field = bottom
# crc32 = 6838d2be
0 c - [3]
1 c - [2]
2 p - [3]
3 p - [5]
4 c - [5]
5 c - [2]
6 c - [6]
7 p - [4]
8 p - [2]
9 c - [3]
10 c - [7]
11 c - [2]
12 p - [5]
13 p - [4]
14 c - [6]
15 c - [6]
16 c - [6]
17 p - [2]
18 p - [6]
19 c - [4]
20 c - [2]
21 c - [6]
22 p - [5]
23 p - [6]
24 c - [3]
25 c - [3]
26 c - [3]
27 p - [5]
28 p - [4]
29 c - [6]
30 c - [4]
31 c - [12]
32 p - [2]
33 p - [4]
34 c - [3]
35 c - [10]
36 c - [6]
37 p - [8]
38 p - [12]
39 c - [4]
40 c - [3]
41 c - [5]
42 p - [4]
43 p - [8]
44 c - [8]
45 c - [8]
46 l + [82]
47 p - [4]
48 p - [13]
49 c - [6]
50 c - [4]
51 c - [1]
52 p - [2]
53 p - [8]
54 p - [3]
55 c - [3]
56 c - [4]
57 p - [5]
58 p - [4]
59 c - [5]
60 c - [4]
61 c - [9]
62 p - [4]
63 p - [3]
64 c - [1]
65 c - [9]
66 c - [4]
67 p - [8]
68 p - [3]
69 c - [2]
70 c - [3]
71 c - [3]
72 p - [4]
73 p - [8]
74 c - [6]
75 c - [5]
76 c - [2]
77 p - [56]
78 p - [25]
79 c - [1]
80 c - [6]
81 c - [6]
82 p - [6]
83 p - [4]
84 c - [3]
85 c - [4]
86 c - [2]
87 p - [2]
88 p - [10]
89 c - [8]
90 p - [6]
91 p - [7]
92 c - [15]
93 c - [23]
94 c - [5]
95 p - [7]
96 p - [22]
97 c - [4]
98 c - [7]
99 c - [7]
100 p - [10]
101 p - [6]
102 c - [9]
103 c - [11]
104 l + [94]
105 p - [15]
106 p - [19]
107 c - [15]
108 c - [5]
109 c - [18]
110 p - [23]
111 p - [3]
112 c - [5]
113 c - [9]
114 c - [9]
115 p - [9]
116 p - [7]
117 c - [22]
118 c - [7]
119 c - [23]
120 p - [17]
121 p - [9]
122 c - [23]
123 c - [11]
124 c - [9]
125 p - [12]
126 p - [37]
127 c - [80]
128 c - [18]
129 l + [88]
130 p - [10]
131 p - [22]
132 c - [18]
133 c - [12]
134 c - [11]
135 p - [7]
136 p - [15]
137 c - [9]
138 c - [8]
139 c - [9]
140 p - [14]
141 p - [10]
142 c - [8]
143 c - [20]
144 c - [14]
145 p - [8]
146 p - [13]
147 c - [14]
148 c - [21]
149 l + [92]
150 c - [15]
151 p - [6]
152 p - [11]
153 c - [16]
154 c - [10]
155 c - [9]
156 p - [1]
157 p - [9]
158 c - [3]
159 c - [8]
160 c - [6]
161 p - [7]
162 p - [1]
163 c - [4]
164 c - [6]
165 c - [12]
166 p - [13]
167 p - [6]
168 c - [7]
169 c - [6]
170 c - [2]
171 p - [22]
172 p - [12]
173 c - [9]
174 c - [17]
175 c - [15]
176 p - [18]
177 p - [10]
178 c - [8]
179 c - [10]
180 c - [5]
181 p - [12]
182 p - [10]
183 c - [11]
184 c - [8]
185 c - [4]
186 p - [9]
187 p - [4]
188 c - [12]
189 c - [7]
190 c - [12]
191 p - [4]
192 p - [8]
193 c - [10]
194 c - [6]
195 c - [9]
196 p - [16]
197 p - [4]
198 c - [16]
199 c - [7]
200 c - [3]
201 p - [6]
202 p - [14]
203 c - [9]
204 c - [3]
205 c - [26]
206 p - [19]
207 p - [9]
208 c - [6]
209 u - [5]
210 p - [5]
211 c - [11]
212 c - [4]
213 c - [3]
214 p - [3]
215 p - [2]
216 c - [13]
217 l + [99]
218 c - [25]
219 p - [16]
220 p - [42]
221 p - [16]
222 c - [14]
223 c - [21]
224 p - [17]
225 p - [16]
226 c - [6]
227 c - [4]
228 c - [17]
229 p - [19]
230 p - [4]
231 c - [4]
232 c - [19]
233 c - [6]
234 p - [14]
235 p - [25]
236 c - [4]
237 c - [17]
238 c - [15]
239 c - [9]
240 p - [6]
241 p - [11]
242 c - [2]
243 c - [7]
244 c - [8]
245 p - [9]
246 p - [10]
247 p - [11]
248 c - [14]
249 c - [8]
250 p - [7]
251 u - [23]
252 p - [23]
253 c - [21]
254 p - [17]
255 c - [7]
256 p - [9]
257 c - [7]
258 c - [11]
259 c - [21]
260 c - [15]
261 c - [10]
262 c - [8]
263 c - [17]
264 c - [10]
265 c - [10]
266 l + [256]
267 c - [23]
268 l + [256]
269 c - [10]
270 l + [256]
271 p - [18]
272 p - [11]
273 p - [20]
274 p - [17]
275 p - [13]
276 p - [14]
277 p - [19]
278 c - [7]
279 p - [14]
280 c - [11]
281 p - [15]
282 c - [16]
283 c - [10]
284 c - [5]
285 c - [10]
286 c - [7]
287 c - [12]
288 c - [33]
289 l + [256]
290 c - [12]
291 l + [256]
292 p - [15]
293 l + [256]
294 p - [12]
295 p - [24]
296 p - [14]
297 p - [13]
298 p - [14]
299 p - [30]
300 p - [12]
301 p - [11]
302 p - [23]
303 c - [15]
304 p + [198]
305 c - [9]
306 p - [26]
307 c - [28]
308 c - [12]
309 c - [18]
310 c - [14]
311 c - [5]
312 c - [8]
313 c - [30]
314 l + [256]
315 c - [46]
316 l + [256]
317 c - [23]
318 l + [256]
319 p - [25]
320 p - [21]
321 p - [12]
322 p - [17]
323 p - [15]
324 p - [40]
325 p - [15]
326 c - [16]
327 p - [23]
328 c - [7]
329 p - [27]
330 c - [15]
331 c - [10]
332 c - [14]
333 c - [27]
334 c - [6]
335 c - [11]
336 c - [6]
337 c - [16]
338 c - [11]
339 p + [256]
340 c - [29]
341 l + [256]
342 c - [45]
343 u - [17]
344 p - [17]
345 p - [32]
346 p - [9]
347 p - [18]
348 p - [22]
349 p - [7]
350 p - [14]

351 p - [8]
352 p - [12]
353 c - [4]
354 p - [6]
355 c - [14]
356 p - [10]
357 c - [11]
358 c - [30]
359 c - [10]
360 c - [8]

361 c - [9]
362 c - [10]
363 c - [9]
364 p + [256]
365 c - [9]
366 l + [256]
367 c - [8]
368 p + [256]
369 p - [7]
370 p - [8]

371 p - [8]
372 p - [10]
373 p - [7]
374 p - [10]
375 p - [28]
376 p - [20]
377 p - [12]
378 c - [11]
379 p - [13]
380 c - [5]

381 c - [12]
382 c - [8]
383 c - [9]
384 c - [5]
385 c - [7]
386 c - [11]
387 c - [10]
388 c - [11]
389 l + [256]
390 c - [10]

391 l + [231]
392 c - [19]
393 l + [256]
394 p - [9]
395 p - [12]
396 p - [6]
397 p - [15]
398 p - [12]
399 p - [7]
400 c - [3]

401 c - [8]
402 c - [15]
403 p - [8]
404 p - [12]
405 c - [14]
406 c - [4]
407 c - [9]
408 p - [7]
409 p - [9]
410 c - [9]

411 c - [10]
412 c - [9]
413 p - [19]
414 p - [9]
415 c - [10]
416 c - [8]
417 c - [12]
418 p - [12]
419 p - [19]
420 c - [23]
421 c - [21]
422 c - [16]
423 p - [8]
424 u - [7]
425 c - [9]
426 c - [16]
427 c - [15]
428 p - [9]
429 p - [12]
430 c - [6]
431 c - [11]
432 c - [11]
433 p - [17]
434 p - [9]
435 c - [80]
436 c - [22]
437 c - [14]
438 c - [13]
439 p - [21]
440 p - [14]
441 c - [13]
442 c - [8]
443 c - [10]
444 p - [9]
445 p - [12]
446 c - [22]
447 c - [17]
448 c - [6]
449 c - [12]
450 c - [11]
451 p - [15]
452 p - [6]
453 c - [4]
454 c - [13]
455 c - [4]
456 u - [8]
457 p - [8]
458 p - [15]
459 c - [7]
460 c - [18]
461 p - [13]
462 p - [29]
463 c - [15]
464 c - [11]
465 c - [18]
466 p - [20]
467 p - [5]
468 p - [16]
469 c - [6]
470 c - [9]
471 p - [8]
472 p - [25]
473 p + [87]
474 c - [22]
475 c - [30]
476 p - [27]
477 p - [10]
478 c - [15]
479 c - [5]
480 c - [15]
481 p - [8]
482 p - [8]
483 p - [13]
484 c - [21]
485 c - [19]
486 p - [13]
487 p - [8]
488 c - [9]
489 c - [7]
490 c - [7]
491 p - [8]
492 p - [11]
493 c - [15]
494 c - [24]
495 c - [9]
496 p + [96]
497 c - [11]
498 c - [72]
499 p - [16]
500 c - [24]
