#TFM v1.0.8 by tritical
field = bottom
crc32 = 277e2dcd
0 c - [31]
1 c - [15]
2 p - [15]
3 p - [17]
4 c - [15]
5 c - [17]
6 c - [10]
7 p - [17]
8 p - [39]
9 c - [11]
10 c - [9]
11 c - [32]
12 p - [37]
13 p - [19]
14 c - [32]
15 c - [16]
16 c - [32]
17 p - [22]
18 p - [29]
19 c - [17]
20 c - [19]
21 c - [19]
22 p - [23]
23 p - [20]
24 c - [45]
25 c - [35]
26 c - [11]
27 p - [9]
28 p - [43]
29 c - [21]
30 c - [9]
31 c - [11]
32 p - [64]
33 p - [14]
34 c - [37]
35 c - [28]
36 c - [19]
37 p - [23]
38 p - [46]
39 c - [18]
40 c - [5]
41 c - [17]
42 p - [36]
43 p - [23]
44 c - [5]
45 c - [1]
46 c - [10]
47 p - [30]
48 p - [32]
49 c - [11]
50 c - [9]
51 c - [29]
52 p - [50]
53 p - [19]
54 c - [20]
55 c - [11]
56 c - [14]
57 p - [21]
58 p - [14]
59 c - [4]
60 c - [18]
61 c - [54]
62 p - [26]
63 p - [21]
64 c - [17]
65 c - [29]
66 c - [18]
67 p - [22]
68 p - [22]
69 c - [35]
70 c - [19]
71 c - [11]
72 p - [15]
73 p - [33]
74 c - [9]
75 c - [31]
76 c - [19]
77 p - [30]
78 p - [23]
79 c - [30]
80 c - [24]
81 c - [27]
82 p - [24]
83 p - [29]
84 c - [13]
85 c - [24]
86 c - [25]
87 p - [26]
88 p - [36]
89 c - [26]
90 c - [40]
91 c - [63]
92 p - [56]
93 p - [50]
94 c - [32]
95 c - [18]
96 c - [60]
97 p - [23]
98 p - [17]
99 c - [42]
100 c - [19]
101 c - [37]
102 p - [43]
103 p - [28]
104 c - [29]
105 c - [38]
106 c - [22]
107 p - [24]
108 p - [39]
109 c - [29]
110 c - [42]
111 c - [40]
112 p - [33]
113 p - [30]
114 c - [27]
115 c - [14]
116 c - [16]
117 p - [11]
118 p - [38]
119 c - [25]
120 c - [20]
121 c - [34]
122 p - [21]
123 p - [27]
124 c - [13]
125 c - [44]
126 c - [22]
127 p - [25]
128 p - [11]
129 c - [29]
130 c - [27]
131 c - [32]
132 p - [34]
133 p - [43]
134 c - [15]
135 c - [31]
136 c - [22]
137 p - [52]
138 p - [24]
139 c - [22]
140 c - [18]
141 c - [18]
142 p - [40]
143 p - [17]
144 c - [21]
145 c - [60]
146 c - [26]
147 p - [44]
148 p - [20]
149 c - [20]
150 p - [31]
151 c - [26]
152 p - [14]
153 p - [52]
154 c - [35]
155 c - [18]
156 c - [14]
157 p - [24]
158 p - [25]
159 c - [7]
160 c - [37]
161 c - [18]
162 p - [31]
163 p - [37]
164 c - [25]
165 c - [26]
166 c - [16]
167 p - [23]
168 p - [23]
169 c - [16]
170 c - [18]
171 c - [21]
172 p - [30]
173 p - [15]
174 c - [48]
175 c - [24]
176 c - [39]
177 c - [39]
178 p - [23]
179 c - [40]
180 c - [16]
181 c - [16]
182 p - [20]
183 p - [25]
184 c - [71]
185 c - [18]
186 c - [17]
187 p - [46]
188 p - [21]
189 l + [84]
190 c - [32]
191 c - [39]
192 p - [31]
193 p - [16]
194 c - [32]
195 c - [16]
196 c - [32]
197 p - [46]
198 p - [26]
199 c - [28]
200 c - [22]
201 c - [11]
202 p - [15]
203 p - [29]
204 c - [23]
205 c - [17]
206 c - [40]
207 c - [72]
208 p - [24]
209 c - [23]
210 c - [15]
211 c - [20]
212 c - [30]
213 c - [15]
214 c - [17]
215 c - [55]
216 c - [30]
217 p - [29]
218 p - [17]
219 c - [30]
220 c - [35]
221 c - [63]
222 p - [34]
223 p - [28]
224 c - [24]
225 c - [40]
226 c - [55]
227 p - [68]
228 p - [74]
229 c - [24]
230 c - [25]
231 c - [26]
232 p - [23]
233 p - [45]
234 c - [24]
235 c - [27]
236 c - [69]
237 p - [27]
238 p - [46]
239 c - [30]
240 c - [2]
241 c - [6]
242 p - [7]
243 p - [10]
244 c - [7]
245 c - [8]
246 c - [12]
247 p - [8]
248 p - [12]
249 c - [10]
250 c - [6]
251 c - [7]
252 p - [11]
253 p - [11]
254 c - [5]
255 c - [11]
256 c - [8]
257 p - [8]
258 p - [9]
259 p - [16]
260 c - [18]
261 c - [12]
262 p - [12]
263 p - [12]
264 c - [11]
265 c - [8]
266 c - [7]
267 p - [6]
268 p - [10]
269 c - [5]
270 c - [8]
271 c - [18]
272 p - [17]
273 p - [5]
274 c - [4]
275 c - [6]
276 c - [16]
277 p - [13]
278 p - [9]
279 c - [5]
280 c - [8]
281 c - [5]
282 p - [6]
283 p - [2]
284 c - [6]
285 c - [4]
286 c - [7]
287 p - [6]
288 p - [9]
289 c - [6]
290 c - [7]
291 c - [4]
292 p - [7]
293 p - [6]
294 c - [8]
295 c - [4]
296 c - [8]
297 p - [11]
298 p - [9]
299 c - [9]
300 c - [9]
301 c - [10]
302 p - [18]
303 p - [10]
304 c - [5]
305 c - [5]
306 c - [2]
307 p - [5]
308 p - [4]
309 c - [4]
310 c - [9]
311 c - [5]
312 p - [5]
313 p - [11]
314 c - [4]
315 c - [3]
316 c - [4]
317 p - [5]
318 p - [7]
319 c - [2]
320 c - [12]
321 c - [5]
322 p - [6]
323 p - [4]
324 c - [3]
325 c - [7]
326 c - [11]
327 p - [16]
328 p - [4]
329 c - [4]
330 c - [2]
331 c - [5]
332 p - [5]
333 p - [3]
334 c - [6]
335 c - [4]
336 c - [4]
337 p - [2]
338 p - [2]
339 c - [6]
340 c - [2]
341 c - [4]
342 p - [5]
343 p - [5]
344 c - [9]
345 c - [10]
346 c - [6]
347 p - [5]
348 p - [3]
349 c - [9]
350 c - [1]
351 c - [6]
352 p - [7]
353 p - [1]
354 c - [6]
355 c - [10]
356 c - [1]
357 p - [1]
358 p - [4]
359 c - [3]
360 c - [5]
361 c - [8]
362 p - [14]
363 p - [8]
364 c - [3]
365 c - [8]
366 c - [5]
367 p - [4]
368 p - [9]
369 c - [8]
370 c - [7]
371 c - [4]
372 p - [14]
373 p - [12]
374 c - [2]
375 c - [3]
376 c - [7]
377 p - [15]
378 p - [15]
379 c - [4]
380 c - [20]
381 c - [8]
382 p - [11]
383 p - [7]
384 c - [5]
385 c - [10]
386 c - [9]
387 p - [10]
388 p - [6]
389 c - [17]
390 c - [9]
391 c - [5]
392 p - [5]
393 p - [5]
394 c - [10]
395 c - [26]
396 c - [6]
397 p - [9]
398 p - [14]
399 c - [14]
400 c - [8]
401 c - [9]
402 p - [13]
403 p - [6]
404 c - [9]
405 c - [6]
406 c - [7]
407 p - [9]
408 p - [12]
409 c - [7]
410 c - [16]
411 c - [11]
412 p - [16]
413 p - [6]
414 c - [15]
415 c - [21]
416 c - [12]
417 p - [14]
418 p - [10]
419 c - [9]
420 c - [10]
421 c - [14]
422 p - [8]
423 p - [17]
424 c - [9]
425 c - [3]
426 c - [11]
427 p - [42]
428 p - [21]
429 c - [5]
430 c - [6]
431 c - [5]
432 p - [5]
433 p - [11]
434 c - [9]
435 c - [5]
436 c - [7]
437 p - [2]
438 p - [7]
439 c - [5]
440 c - [12]
441 c - [6]
442 p - [6]
443 p - [9]
444 c - [2]
445 c - [3]
446 c - [6]
447 p - [13]
448 p - [3]
449 c - [5]
450 c - [2]
451 c - [9]
452 p - [4]
453 p - [13]
454 c - [5]
455 c - [5]
456 c - [2]
457 p - [5]
458 p - [5]
459 c - [4]
460 c - [4]
461 c - [4]
462 p - [4]
463 p - [3]
464 c - [9]
465 c - [5]
466 c - [4]
467 p - [2]
468 p - [1]
469 c - [3]
470 c - [3]
471 c - [2]
472 p - [6]
473 p - [5]
474 c - [16]
475 c - [5]
476 c - [5]
477 p - [4]
478 p - [14]
479 c - [6]
480 c - [4]
481 c - [10]
482 p - [8]
483 p - [5]
484 c - [2]
485 c - [4]
486 c - [1]
487 p - [11]
488 p - [4]
489 c - [3]
490 c - [7]
491 c - [5]
492 p - [4]
493 p - [2]
494 c - [12]
495 c - [3]
496 c - [1]
497 p - [2]
498 p - [8]
499 c - [2]
500 c - [2]
501 c - [5]
502 p - [4]
503 p - [7]
504 c - [1]
505 c - [4]
506 c - [6]
507 p - [5]
508 p - [48]
509 c - [4]
510 c - [13]
511 c - [6]
512 p - [4]
513 p - [3]
514 c - [3]
515 c - [17]
516 c - [13]
517 p - [8]
518 p - [3]
519 c - [7]
520 c - [3]
521 c - [0]
522 p - [4]
523 p - [16]
524 c - [6]
525 c - [1]
526 c - [1]
527 c - [2]
528 p - [2]
529 c - [1]
530 c - [3]
531 c - [1]
532 p - [4]
533 p - [9]
534 c - [5]
535 c - [6]
536 c - [5]
537 p - [4]
538 p - [4]
539 c - [1]
540 c - [0]
541 c - [3]
542 p - [7]
543 p - [3]
544 c - [4]
545 c - [5]
546 c - [3]
547 p - [7]
548 p - [5]
549 c - [2]
550 c - [2]
551 c - [5]
552 p - [5]
553 p - [4]
554 c - [7]
555 c - [25]
556 c - [26]
557 p - [40]
558 p - [38]
559 c - [15]
560 c - [11]
561 c - [13]
562 p - [17]
563 p - [24]
564 c - [17]
565 c - [31]
566 c - [22]
567 p - [24]
568 p - [24]
569 c - [16]
570 c - [13]
571 c - [24]
572 p - [14]
573 p - [12]
574 c - [26]
575 c - [8]
576 c - [13]
577 p - [14]
578 p - [21]
579 c - [10]
580 c - [42]
581 c - [13]
582 p - [11]
583 p - [11]
584 c - [13]
585 c - [23]
586 c - [12]
587 p - [25]
588 p - [20]
589 c - [11]
590 c - [27]
591 c - [37]
592 p - [9]
