#TFM v1.0.8 by tritical
field = bottom
crc32 = 6cc661
0 c - [5]
1 p - [0]
2 p - [0]
3 p - [0]
4 p - [0]
5 p - [0]
6 p - [0]
7 p - [0]
8 c - [0]
9 c - [0]
10 c - [1]
11 c - [0]
12 c - [0]
13 c - [2]
14 c - [5]
15 c - [2]
16 c - [1]
17 c - [8]
18 p - [1]
19 p - [4]
20 c - [3]
21 p - [6]
22 c - [15]
23 c - [12]
24 c - [4]
25 c - [9]
26 c - [11]
27 p - [4]
28 p - [21]
29 c - [16]
30 c - [15]
31 c - [15]
32 c - [43]
33 p - [21]
34 c - [17]
35 c - [21]
36 c - [14]
37 p - [14]
38 p - [30]
39 c - [14]
40 c - [24]
41 c - [16]
42 p - [16]
43 p - [15]
44 c - [16]
45 c - [5]
46 c - [43]
47 p - [39]
48 p - [41]
49 c - [15]
50 c - [14]
51 c - [15]
52 p - [28]
53 p - [13]
54 c - [37]
55 c - [5]
56 c - [31]
57 p - [21]
58 p - [13]
59 c - [11]
60 c - [12]
61 c - [13]
62 p - [12]
63 p - [22]
64 c - [15]
65 c - [34]
66 c - [17]
67 p - [23]
68 p - [25]
69 c - [4]
70 c - [13]
71 c - [25]
72 p - [20]
73 p - [22]
74 c - [12]
75 c - [46]
76 c - [12]
77 p - [24]
78 p - [16]
79 c - [22]
80 c - [14]
81 c - [18]
82 p - [11]
83 p - [24]
84 c - [36]
85 c - [13]
86 c - [15]
87 p - [39]
88 p - [15]
89 c - [26]
90 c - [12]
91 c - [19]
92 p - [13]
93 p - [8]
94 c - [16]
95 c - [47]
96 c - [25]
97 p - [43]
98 p - [18]
99 c - [8]
100 c - [54]
101 c - [6]
102 p - [15]
103 p - [23]
104 c - [49]
105 c - [5]
106 c - [8]
107 p - [14]
108 p - [8]
109 c - [42]
110 c - [54]
111 c - [17]
112 p - [20]
113 p - [23]
114 c - [33]
115 c - [55]
116 c - [12]
117 p - [36]
118 p - [17]
119 c - [18]
120 c - [19]
121 c - [3]
122 p - [9]
123 p - [17]
124 c - [12]
125 c - [19]
126 c - [22]
127 p - [13]
128 p - [11]
129 c - [7]
130 c - [31]
131 c - [11]
132 p - [11]
133 p - [10]
134 c - [10]
135 c - [14]
136 c - [15]
137 p - [10]
138 p - [7]
139 p - [12]
140 p - [8]
141 c - [4]
142 p - [17]
143 p - [6]
144 c - [3]
145 c - [4]
146 c - [1]
147 p - [1]
148 p - [4]
149 p - [0]
150 c - [12]
151 p - [15]
152 p - [9]
153 p - [5]
154 c - [0]
155 c - [1]
156 c - [7]
157 c - [3]
158 p - [13]
159 c - [1]
160 c - [6]
161 c - [14]
162 c - [1]
163 p - [2]
164 c - [2]
165 c - [2]
166 c - [6]
167 p - [9]
168 c - [4]
169 c - [4]
170 c - [4]
171 c - [7]
172 p - [10]
173 c - [6]
174 c - [9]
175 c - [5]
176 c - [7]
177 p - [1]
178 p - [8]
179 c - [2]
180 c - [8]
181 c - [8]
182 p - [8]
183 p - [2]
184 c - [13]
185 c - [3]
186 c - [3]
187 p - [8]
188 p - [7]
189 c - [6]
190 c - [2]
191 c - [7]
192 p - [2]
193 p - [6]
194 c - [5]
195 c - [4]
196 c - [4]
197 p - [0]
198 p - [3]
199 c - [0]
200 c - [1]
201 c - [3]
202 p - [3]
203 p - [6]
204 c - [5]
205 c - [3]
206 c - [3]
207 c - [13]
208 p - [11]
209 c - [7]
210 c - [3]
211 c - [8]
212 p - [8]
213 c - [3]
214 c - [4]
215 c - [8]
216 c - [3]
217 p - [11]
218 c - [7]
219 c - [2]
220 c - [7]
221 c - [11]
222 p - [3]
223 p - [1]
224 c - [2]
225 p - [4]
226 c - [4]
227 p - [13]
228 p - [5]
229 c - [5]
230 c - [17]
231 c - [5]
232 p - [8]
233 p - [3]
234 c - [1]
235 c - [27]
236 c - [15]
237 p - [24]
238 p - [25]
239 c - [20]
240 c - [25]
241 c - [20]
242 p - [32]
243 p - [28]
244 c - [24]
245 c - [19]
246 c - [27]
247 p - [36]
248 p - [34]
249 c - [14]
250 c - [23]
251 c - [22]
252 p - [25]
253 p - [32]
254 p - [24]
255 c - [17]
256 c - [16]
257 p - [20]
258 p - [27]
259 c - [32]
260 c - [24]
261 c - [25]
262 p - [19]
263 p - [17]
264 c - [21]
265 c - [26]
266 c - [37]
267 p - [20]
268 p - [54]
269 c - [21]
270 c - [23]
271 c - [30]
272 p - [13]
273 p - [34]
274 c - [26]
275 c - [23]
276 c - [21]
277 p - [30]
278 c - [29]
279 c - [26]
280 p - [19]
281 p - [42]
282 c - [20]
283 c - [52]
284 c - [28]
285 p - [18]
286 p - [31]
287 c - [27]
288 c - [31]
289 c - [30]
290 p - [56]
291 p - [44]
292 c - [20]
293 c - [19]
294 c - [29]
295 p - [27]
296 p - [28]
297 c - [16]
298 c - [35]
299 c - [45]
300 p - [17]
301 p - [25]
302 c - [15]
303 c - [33]
304 c - [64]
305 p - [31]
306 p - [34]
307 c - [66]
308 c - [26]
309 c - [33]
310 p - [27]
311 l + [184]
312 c - [20]
313 c - [35]
314 c - [9]
315 p - [27]
316 p - [20]
317 c - [23]
318 c - [10]
319 c - [14]
320 p - [21]
321 p - [10]
322 c - [26]
323 c - [17]
324 c - [33]
325 p - [49]
326 p - [34]
327 c - [44]
328 c - [20]
329 c - [31]
330 p - [27]
331 p - [49]
332 c - [27]
333 c - [16]
334 c - [16]
335 p - [23]
336 p - [26]
337 c - [28]
338 c - [28]
339 c - [25]
340 p - [20]
341 p - [26]
342 c - [27]
343 c - [16]
344 c - [46]
345 p - [28]
346 p - [41]
347 c - [40]
348 c - [71]
349 c - [41]
350 p - [77]
351 p - [49]
352 c - [52]
353 c - [64]
354 c - [49]
355 p - [47]
356 p - [29]
357 c - [20]
358 c - [16]
359 c - [25]
360 p - [22]
361 p - [32]
362 c - [20]
363 c - [55]
364 c - [32]
365 p - [29]
366 p - [46]
367 c - [25]
368 c - [27]
369 c - [38]
370 p - [30]
371 p - [39]
372 c - [32]
373 c - [22]
374 c - [32]
375 p - [39]
376 p - [37]
377 c - [25]
378 c - [19]
379 c - [32]
380 p - [29]
381 p - [51]
382 c - [30]
383 c - [56]
384 c - [48]
385 p - [36]
386 p - [49]
387 p - [21]
388 c - [32]
389 c - [33]
390 p - [29]
391 p - [45]
392 c - [36]
393 c - [36]
394 c - [48]
395 p - [40]
396 p - [43]
397 c - [58]
398 c - [45]
399 c - [21]
400 p - [35]
401 p - [63]
402 c - [29]
403 c - [35]
404 c - [45]
405 p - [51]
406 p - [49]
407 c - [29]
408 c - [22]
409 c - [51]
410 c - [37]
411 p - [23]
412 p - [38]
413 c - [31]
414 c - [34]
415 c - [27]
416 p - [34]
417 p - [43]
418 c - [26]
419 c - [21]
420 c - [14]
421 p - [17]
422 p - [35]
423 c - [39]
