#TFM v1.0.8 by tritical
field = bottom
crc32 = 720fd3cf
0 c - [21]
1 c - [12]
2 p - [28]
3 p - [25]
4 c - [6]
5 c - [19]
6 c - [22]
7 p - [8]
8 p - [39]
9 c - [18]
10 c - [11]
11 c - [28]
12 p - [23]
13 p - [50]
14 c - [23]
15 c - [35]
16 c - [13]
17 p - [18]
18 p - [44]
19 c - [58]
20 c - [28]
21 c - [28]
22 p - [14]
23 p - [39]
24 c - [19]
25 c - [10]
26 c - [23]
27 p - [28]
28 p - [42]
29 c - [25]
30 c - [29]
31 c - [13]
32 p - [29]
33 p - [45]
34 c - [36]
35 c - [34]
36 c - [28]
37 p - [26]
38 p - [40]
39 c - [14]
40 c - [12]
41 c - [44]
42 p - [42]
43 p - [30]
44 c - [15]
45 c - [28]
46 c - [29]
47 p - [34]
48 p - [32]
49 c - [20]
50 c - [61]
51 c - [30]
52 p - [38]
53 p - [61]
54 c - [22]
55 c - [22]
56 c - [18]
57 p - [33]
58 p - [16]
59 c - [36]
60 c - [12]
61 c - [19]
62 p - [36]
63 p - [26]
64 c - [29]
65 c - [23]
66 c - [33]
67 p - [63]
68 p - [26]
69 c - [43]
70 c - [20]
71 c - [39]
72 p - [23]
73 p - [36]
74 c - [13]
75 c - [55]
76 c - [23]
77 p - [40]
78 p - [34]
79 c - [24]
80 c - [29]
81 c - [28]
82 p - [32]
83 p - [41]
84 c - [23]
85 c - [25]
86 c - [29]
87 p - [25]
88 p - [32]
89 c - [25]
90 c - [24]
91 c - [23]
92 p - [34]
93 p - [31]
94 c - [24]
95 c - [22]
96 c - [29]
97 p - [31]
98 p - [25]
99 c - [28]
100 c - [43]
101 c - [23]
102 p - [29]
103 p - [37]
104 c - [40]
105 c - [21]
106 c - [26]
107 p - [33]
108 p - [22]
109 c - [20]
110 c - [31]
111 c - [68]
112 p - [34]
113 p - [20]
114 c - [25]
115 c - [24]
116 c - [26]
117 p - [29]
118 p - [27]
119 c - [21]
120 c - [20]
121 c - [28]
122 p - [25]
123 p - [33]
124 c - [27]
125 c - [26]
126 c - [32]
127 p - [31]
128 p + [96]
129 c - [29]
130 c - [27]
131 c - [26]
132 p - [32]
133 p - [26]
134 c - [29]
135 c - [25]
136 c - [22]
137 p - [22]
138 p - [28]
139 c - [26]
140 c - [29]
141 c - [35]
142 p - [20]
143 p - [25]
144 c - [18]
145 c - [26]
146 c - [26]
147 p - [21]
148 p - [28]
149 c - [20]
150 p - [75]
151 c - [31]
152 p - [24]
153 p - [22]
154 c - [26]
155 c - [24]
156 c - [30]
157 p - [28]
158 p - [32]
159 c - [23]
160 c - [24]
161 c - [28]
162 p - [25]
163 p - [20]
164 c - [31]
165 c - [30]
166 c - [24]
167 p - [24]
168 p - [30]
169 c - [29]
170 c - [20]
171 c - [27]
172 p - [29]
173 p - [23]
174 c - [22]
175 c - [54]
176 c - [30]
177 p - [40]
178 p - [30]
179 c - [19]
180 c - [20]
181 c - [25]
182 p - [20]
183 p - [50]
184 c - [44]
185 c - [20]
186 c - [29]
187 p - [22]
188 p - [23]
189 c - [36]
190 c - [33]
191 c - [20]
192 p - [30]
193 p - [28]
194 c - [45]
195 c - [41]
196 c - [19]
197 p - [23]
198 p - [23]
199 c - [37]
200 c - [50]
201 c - [25]
202 p - [22]
203 p - [19]
204 c - [22]
205 c - [25]
206 c - [24]
207 p - [40]
208 p - [27]
209 c - [21]
210 c - [27]
211 c - [48]
212 p - [22]
213 p - [65]
214 c - [62]
215 c - [27]
216 c - [34]
217 p - [24]
218 c - [53]
219 c - [25]
220 c - [28]
221 c - [41]
222 p - [26]
223 c - [49]
224 c - [28]
225 c - [72]
226 c - [25]
227 p - [26]
228 p - [68]
229 c - [24]
230 c - [42]
231 c - [50]
232 p - [52]
233 p - [38]
234 c - [24]
235 c - [21]
236 c - [25]
237 p - [44]
238 p - [32]
239 c - [27]
240 c - [7]
241 p - [15]
242 p - [16]
243 p - [15]
244 p - [32]
245 c - [12]
246 p - [8]
247 p - [16]
248 c - [12]
249 c - [15]
250 p - [23]
251 p - [13]
252 p - [25]
253 p - [7]
254 c - [24]
255 p - [29]
256 p - [34]
257 p - [13]
258 p - [13]
259 p - [22]
260 p - [16]
261 p - [12]
262 p - [4]
263 p - [34]
264 p - [6]
265 p - [12]
266 p - [6]
267 p - [5]
268 p - [13]
269 p - [11]
270 p - [5]
271 p - [7]
272 p - [10]
273 p - [17]
274 p - [4]
275 p - [5]
276 p - [5]
277 p - [18]
278 p - [9]
279 p - [14]
280 p - [11]
281 p - [15]
282 p - [13]
283 p - [5]
284 p - [8]
285 p - [13]
286 p - [7]
287 p - [33]
288 p - [19]
289 p - [12]
290 p - [6]
291 p - [8]
292 p - [14]
293 p - [12]
294 p - [13]
295 p - [9]
296 p - [28]
297 p - [40]
298 p - [31]
299 p - [16]
300 p - [5]
301 p - [8]
302 p - [25]
303 p - [13]
304 p - [8]
305 p - [11]
306 p - [29]
307 p - [8]
308 p - [25]
309 p - [5]
310 c - [17]
311 p - [16]
312 p - [4]
313 p - [12]
314 c - [7]
315 c - [16]
316 p - [22]
317 p - [14]
318 p - [23]
319 c - [3]
320 c - [15]
321 p - [26]
322 p - [12]
323 p - [12]
324 c - [14]
325 c - [20]
326 p - [6]
327 p - [9]
328 p - [27]
329 c - [5]
330 c - [16]
331 p - [20]
332 p - [15]
333 p - [19]
334 c - [14]
335 c - [22]
336 p - [18]
337 p - [39]
338 p - [24]
339 c - [4]
340 c - [12]
341 p - [4]
342 p - [30]
343 p - [24]
344 c - [9]
345 c - [9]
346 p - [5]
347 p - [7]
348 p - [9]
349 c - [8]
350 c - [13]
351 p - [17]
352 p - [8]
353 p - [10]
354 c - [13]
355 c - [12]
356 p - [22]
357 p - [10]
358 p - [17]
359 c - [4]
360 c - [9]
361 p - [22]
362 p - [10]
363 p - [23]
364 c - [16]
365 c - [24]
366 p - [13]
367 p - [12]
368 p - [14]
369 c - [9]
370 c - [21]
371 p - [34]
372 p - [20]
373 p - [20]
374 c - [18]
375 c - [18]
376 p - [13]
377 p - [36]
378 p - [7]
379 c - [6]
380 c - [22]
381 p - [18]
382 p - [13]
383 c - [29]
384 c - [19]
385 c - [9]
386 p - [22]
387 p - [30]
388 c - [35]
389 c - [32]
390 c - [32]
391 p - [38]
392 p - [45]
393 c - [15]
394 c - [11]
395 c - [24]
396 p - [10]
397 p - [23]
398 c - [14]
399 c - [10]
400 c - [17]
401 p - [19]
402 p - [17]
403 c - [12]
404 c - [28]
405 c - [13]
406 p - [12]
407 p - [18]
408 c - [37]
409 c - [18]
410 c - [10]
411 p - [13]
412 p - [20]
413 c - [22]
414 c - [20]
415 c - [20]
416 p - [38]
417 p - [35]
418 c - [45]
419 c - [14]
420 c - [18]
421 p - [39]
422 p - [26]
423 c - [9]
424 c - [34]
425 c - [51]
426 p - [43]
427 p - [24]
428 c - [57]
429 c - [21]
430 c - [21]
431 p - [16]
432 p - [22]
433 c - [25]
434 c - [24]
435 c - [11]
436 p - [36]
437 p - [24]
438 c - [45]
439 c - [16]
440 c - [12]
441 p - [22]
442 p - [28]
443 c - [30]
444 c - [14]
445 c - [22]
446 p - [45]
447 p - [20]
448 c - [33]
449 c - [18]
450 c - [22]
451 p - [29]
452 p - [30]
453 p - [24]
454 c - [14]
455 c - [24]
456 p - [30]
457 p - [14]
458 c - [19]
459 c - [47]
460 c - [18]
461 p - [17]
462 p - [33]
463 p - [32]
464 c - [16]
465 c - [18]
466 p - [18]
467 p - [24]
468 c - [21]
469 c - [16]
470 c - [13]
471 p - [33]
472 p - [30]
473 c - [15]
474 c - [31]
475 c - [18]
476 p - [33]
477 p - [27]
478 c - [34]
479 c - [16]
480 c - [15]
481 p - [16]
482 p - [22]
483 c - [39]
484 c - [19]
485 c - [37]
486 p - [24]
487 p - [29]
488 c - [16]
489 c - [20]
490 c - [38]
491 p - [23]
492 p - [24]
493 p - [33]
494 c - [21]
495 c - [20]
496 p - [22]
497 p - [27]
498 c - [23]
499 l + [81]
500 c - [23]
501 p - [43]
502 p - [43]
503 c - [26]
504 c - [34]
505 c - [30]
506 p - [23]
507 p - [30]
508 c - [17]
509 c - [20]
510 c - [30]
511 p + [96]
512 p - [36]
513 c - [28]
514 c - [55]
515 c - [40]
