#TFM v1.0.8 by tritical
field = bottom
crc32 = bc9a1a14
0 c - [13]
1 c - [6]
2 p - [8]
3 p - [25]
4 c - [34]
5 c - [18]
6 c - [10]
7 p - [7]
8 p - [46]
9 c - [7]
10 c - [8]
11 c - [55]
12 p - [49]
13 p - [22]
14 p - [11]
15 c - [10]
16 c - [24]
17 p - [22]
18 p - [6]
19 c - [10]
20 c - [28]
21 c - [5]
22 p - [12]
23 p - [21]
24 c - [14]
25 c - [19]
26 c - [11]
27 p - [7]
28 p - [8]
29 c - [42]
30 c - [11]
31 c - [38]
32 p - [27]
33 p - [12]
34 c - [26]
35 c - [7]
36 c - [32]
37 p - [46]
38 p - [7]
39 c - [6]
40 c - [12]
41 c - [57]
42 p - [48]
43 p - [13]
44 c - [31]
45 c - [15]
46 c - [20]
47 p - [42]
48 p - [16]
49 c - [19]
50 c - [14]
51 c - [19]
52 p - [22]
53 p - [30]
54 c - [11]
55 c - [10]
56 c - [18]
57 p - [12]
58 p - [17]
59 c - [21]
60 c - [48]
61 c - [31]
62 p - [24]
63 p - [57]
64 c - [23]
65 c - [27]
66 c - [18]
67 p - [44]
68 p - [29]
69 c - [52]
70 c - [9]
71 c - [9]
72 p - [21]
73 p - [22]
74 p - [20]
75 c - [28]
76 c - [32]
77 p - [42]
78 p - [18]
79 c - [13]
80 c - [18]
81 c - [36]
82 p - [51]
83 p - [18]
84 c - [26]
85 c - [28]
86 c - [23]
87 p - [20]
88 p - [34]
89 c - [21]
90 c - [22]
91 c - [17]
92 p - [57]
93 p - [23]
94 c - [20]
95 c - [27]
96 c - [19]
97 p - [25]
98 p - [22]
99 c - [53]
100 c - [37]
101 c - [31]
102 p - [34]
103 p - [49]
104 c - [27]
105 c - [26]
106 c - [25]
107 p - [31]
108 p - [19]
109 c - [29]
110 c - [21]
111 c - [16]
112 p - [30]
113 p - [62]
114 c - [28]
115 c - [21]
116 c - [22]
117 p - [24]
118 p - [22]
119 c - [19]
120 c - [37]
121 c - [75]
122 p - [26]
123 p - [26]
124 c - [21]
125 c - [20]
126 c - [20]
127 p - [20]
128 p - [20]
129 c - [19]
130 c - [24]
131 c - [36]
132 p - [37]
133 p - [53]
134 c - [20]
135 c - [31]
136 c - [30]
137 p - [38]
138 p - [41]
139 c - [27]
140 c - [40]
141 c - [31]
142 c - [40]
143 p - [20]
144 c - [36]
145 c - [67]
146 c - [25]
147 p - [19]
148 c - [19]
149 c - [20]
150 c - [21]
151 c - [25]
152 p - [28]
153 p - [41]
154 c - [24]
155 c - [22]
156 c - [27]
157 p - [25]
158 p - [24]
159 c - [27]
160 c - [27]
161 c - [23]
162 p - [23]
163 p - [24]
164 c - [20]
165 c - [36]
166 c - [52]
167 p - [23]
168 p - [20]
169 c - [22]
170 c - [22]
171 c - [60]
172 p - [46]
173 p - [22]
174 c - [22]
175 c - [25]
176 c - [23]
177 p - [21]
178 c - [22]
179 c - [16]
180 c - [18]
181 c - [17]
182 p - [17]
183 p - [17]
184 c - [21]
185 c - [16]
186 c - [18]
187 p - [19]
188 p - [20]
189 c - [18]
190 c - [19]
191 c - [19]
192 p - [21]
193 p - [16]
194 c - [23]
195 c - [16]
196 c - [20]
197 p - [21]
198 p - [29]
199 c - [24]
200 c - [16]
201 c - [16]
202 p - [18]
203 p - [23]
204 c - [45]
205 c - [28]
206 c - [57]
207 p - [26]
208 c - [41]
209 c - [36]
210 c - [18]
211 c - [39]
212 c - [49]
213 p - [29]
214 c - [47]
215 c - [25]
216 c - [21]
217 p - [19]
218 p - [19]
219 c - [20]
220 c - [26]
221 c - [50]
222 c - [28]
223 c - [22]
224 c - [25]
225 c - [18]
226 c - [22]
227 p - [23]
228 p - [22]
229 c - [27]
230 c - [26]
231 c - [24]
232 p - [21]
233 p - [23]
234 c - [30]
235 c - [32]
236 c - [30]
237 p - [28]
238 p - [41]
239 c - [29]
240 c - [7]
241 c - [6]
242 p - [6]
243 p - [11]
244 l + [84]
245 c - [17]
246 c - [16]
247 p - [16]
248 p - [17]
249 c - [22]
250 c - [16]
251 c - [9]
252 p - [9]
253 p - [13]
254 c - [20]
255 c - [7]
256 l + [101]
257 p - [13]
258 p - [13]
259 c - [8]
260 c - [11]
261 c - [9]
262 p - [13]
263 p - [12]
264 c - [12]
265 c - [23]
266 c - [20]
267 p - [23]
268 p - [7]
269 c - [12]
270 l + [98]
271 c - [19]
272 p - [17]
273 p - [24]
274 c - [23]
275 c - [11]
276 c - [80]
277 p + [89]
278 p - [24]
279 c - [36]
280 l + [92]
281 c - [5]
282 p - [18]
283 p - [12]
284 c - [13]
285 c - [19]
286 c - [27]
287 p - [18]
288 p - [13]
289 c - [10]
290 c - [9]
291 c - [6]
292 p - [8]
293 p + [96]
294 c - [16]
295 c - [8]
296 c - [6]
297 p - [16]
298 p - [19]
299 c - [19]
300 l + [102]
301 c - [8]
302 p - [21]
303 p - [24]
304 c - [17]
305 c - [12]
306 c - [16]
307 p - [10]
308 p - [31]
309 c - [17]
310 l + [162]
311 c - [51]
312 p - [10]
313 p - [25]
314 c - [39]
315 c - [50]
316 c - [19]
317 p - [15]
318 p - [24]
319 c - [30]
320 c - [18]
321 c - [58]
322 p - [57]
323 p - [59]
324 c - [18]
325 c - [13]
326 c - [19]
327 p - [16]
328 p - [17]
329 c - [14]
330 c - [24]
331 c - [16]
332 p - [49]
333 p - [16]
334 c - [39]
335 c - [8]
336 c - [18]
337 p - [31]
338 p - [36]
339 c - [13]
340 c - [12]
341 c - [13]
342 p - [28]
343 p - [16]
344 c - [24]
345 c - [22]
346 c - [22]
347 p - [12]
348 p - [30]
349 p - [15]
350 c - [11]
351 c - [25]
352 p - [23]
353 p - [18]
354 c - [36]
355 c - [29]
356 c - [8]
357 p - [16]
358 p - [16]
359 c - [16]
360 c - [13]
361 c - [15]
362 p - [20]
363 p - [35]
364 c - [12]
365 c - [12]
366 c - [12]
367 p - [23]
368 p - [17]
369 c - [14]
370 c - [21]
371 c - [17]
372 p - [29]
373 p - [24]
374 c - [22]
375 c - [16]
376 c - [18]
377 p - [26]
378 p - [13]
379 c - [12]
380 c - [11]
381 c - [9]
382 p - [18]
383 p - [22]
384 c - [13]
385 c - [24]
386 c - [11]
387 p - [16]
388 p - [22]
389 c - [16]
390 c - [14]
391 c - [17]
392 p - [20]
393 p - [25]
394 c - [17]
395 c - [17]
396 c - [13]
397 p - [25]
398 p - [14]
399 c - [11]
400 c - [27]
401 c - [15]
402 p - [31]
403 p - [33]
404 c - [32]
405 c - [15]
406 c - [12]
407 p - [12]
408 c - [7]
409 c - [21]
410 c - [12]
411 p - [24]
412 c - [14]
413 c - [16]
414 c - [6]
415 c - [4]
416 p - [3]
417 p - [11]
418 c - [10]
419 c - [17]
420 c - [8]
421 p - [13]
422 p - [5]
423 c - [4]
424 c - [11]
425 c - [9]
426 p - [13]
427 p - [7]
428 c - [8]
429 c - [9]
430 c - [13]
431 p - [9]
432 p - [12]
433 c - [13]
434 c - [14]
435 c - [11]
436 p - [9]
437 p - [8]
438 c - [9]
439 c - [13]
440 c - [4]
441 p - [24]
442 p - [10]
443 c - [6]
444 c - [8]
445 c - [24]
446 p - [15]
447 p - [15]
448 c - [17]
449 c - [14]
450 c - [16]
451 p - [24]
452 p - [12]
453 c - [12]
454 c - [40]
455 c - [18]
456 p - [12]
457 p - [24]
458 c - [4]
459 c - [6]
460 c - [32]
461 p - [17]
462 p - [14]
463 c - [6]
464 c - [7]
465 c - [8]
466 p - [6]
467 p - [11]
468 c - [11]
469 c - [23]
470 c - [14]
471 p - [17]
472 p - [29]
473 c - [14]
474 c - [13]
475 c - [6]
476 p - [9]
477 p - [14]
478 p - [19]
479 c - [4]
480 c - [3]
481 p - [4]
482 p - [4]
483 p - [2]
484 c - [7]
485 c - [1]
486 p - [1]
487 p - [3]
488 p - [9]
489 c - [1]
490 c - [2]
491 p - [7]
492 p - [5]
493 c - [3]
494 c - [10]
495 c - [29]
496 p - [9]
497 p - [4]
498 c - [6]
499 c - [4]
500 c - [5]
501 p - [6]
502 p - [12]
503 p - [10]
504 c - [15]
505 c - [2]
506 p - [6]
507 p - [10]
508 c - [7]
509 c - [11]
510 c - [3]
511 p - [13]
512 p - [7]
513 p - [6]
514 c - [1]
515 c - [10]
516 p - [8]
517 p - [17]
518 c - [3]
519 c - [13]
520 c - [13]
521 p - [13]
522 p - [11]
523 p - [12]
524 c - [5]
525 c - [2]
526 p - [5]
527 p - [4]
528 p - [10]
529 c - [2]
530 c - [8]
531 p - [66]
532 p - [71]
533 p - [11]
534 c - [5]
535 c - [5]
536 p - [16]
537 p - [10]
538 p + [84]
539 c - [13]
540 c - [30]
541 p - [15]
