#TFM v1.0.8 by tritical
field = bottom
crc32 = fc54d9fe
0 c - [0]
1 p - [0]
2 p - [0]
3 p - [0]
4 p - [0]
5 p - [0]
6 p - [1]
7 p - [0]
8 p - [0]
9 p - [1]
10 p - [0]
11 p - [1]
12 p - [0]
13 c - [0]
14 c - [0]
15 p - [2]
16 c - [0]
17 c - [1]
18 c - [1]
19 c - [0]
20 c - [0]
21 c - [0]
22 c - [0]
23 c - [0]
24 c - [0]
25 c - [0]
26 c - [0]
27 c - [0]
28 c - [2]
29 c - [5]
30 p - [4]
31 c - [2]
32 c - [0]
33 c - [6]
34 p - [3]
35 c - [4]
36 c - [1]
37 c - [1]
38 p - [1]
39 p - [0]
40 p - [1]
41 c - [1]
42 c - [0]
43 p - [7]
44 c - [0]
45 p - [5]
46 c - [2]
47 c - [10]
48 p - [4]
49 c - [4]
50 p - [15]
51 p - [3]
52 c - [20]
53 p - [2]
54 c - [4]
55 c - [13]
56 c - [2]
57 c - [4]
58 c - [4]
59 c - [11]
60 p - [4]
61 c - [3]
62 p - [3]
63 p - [5]
64 c - [10]
65 c - [11]
66 p - [9]
67 c - [8]
68 c - [7]
69 c - [1]
70 c - [16]
71 p - [6]
72 c - [15]
73 p - [29]
74 c - [20]
75 p - [5]
76 c - [20]
77 c - [9]
78 p - [6]
79 c - [4]
80 c - [8]
81 p - [8]
82 p - [10]
83 p - [8]
84 c - [14]
85 c - [6]
86 c - [2]
87 c - [7]
88 c - [3]
89 c - [11]
90 c - [20]
91 c - [14]
92 c - [7]
93 p - [10]
94 c - [5]
95 c - [30]
96 c - [6]
97 p - [5]
98 c - [8]
99 c - [7]
100 c - [8]
101 p - [15]
102 c - [9]
103 p - [11]
104 c - [3]
105 c - [11]
106 c - [11]
107 p - [10]
108 c - [7]
109 p - [12]
110 c - [33]
111 c - [8]
112 p - [13]
113 c - [10]
114 p - [9]
115 c - [7]
116 p - [16]
117 c - [22]
118 c - [4]
119 p - [12]
120 p - [5]
121 c - [22]
122 c - [12]
123 c - [15]
124 p - [9]
125 p - [5]
126 c - [4]
127 c - [3]
128 c - [5]
129 p - [6]
130 p - [24]
131 c - [8]
132 c - [4]
133 c - [13]
134 p - [24]
135 p - [8]
136 c - [6]
137 c - [3]
138 c - [9]
139 p - [19]
140 p - [10]
141 c - [4]
142 p - [11]
143 c - [10]
144 p - [12]
145 p - [7]
146 c - [20]
147 c - [2]
148 c - [9]
149 p - [11]
150 p - [8]
151 p - [5]
152 c - [4]
153 c - [12]
154 p - [6]
155 p - [6]
156 c - [4]
157 c - [5]
158 c - [8]
159 p - [16]
160 p - [6]
161 c - [16]
162 c - [6]
163 c - [22]
164 p - [17]
165 p - [16]
166 c - [14]
167 c - [6]
168 c - [16]
169 p - [20]
170 p - [6]
171 c - [6]
172 c - [8]
173 c - [10]
174 p - [7]
175 p - [16]
176 c - [16]
177 c - [5]
178 c - [4]
179 p - [2]
180 p - [4]
181 c - [2]
182 c - [16]
183 c - [5]
184 p - [7]
185 p - [13]
186 c - [5]
187 c - [4]
188 c - [5]
189 p - [2]
190 p - [13]
191 c - [27]
192 c - [10]
193 c - [4]
194 p - [7]
195 p - [6]
196 c - [25]
197 c - [11]
198 c - [6]
199 p - [12]
200 p - [11]
201 c - [3]
202 c - [10]
203 c - [13]
204 p - [12]
205 p - [10]
206 c - [1]
207 c - [2]
208 c - [1]
