#TFM v1.0.8 by tritical
field = bottom
crc32 = 30e08e79
0 c - [19]
1 c - [10]
2 p - [27]
3 p - [28]
4 c - [36]
5 c - [16]
6 c - [62]
7 p - [53]
8 p - [55]
9 c - [11]
10 c - [16]
11 c - [31]
12 p - [28]
13 p - [69]
14 c - [46]
15 c - [12]
16 c - [30]
17 p - [29]
18 p - [49]
19 c - [14]
20 c - [13]
21 c - [69]
22 p - [74]
23 p - [33]
24 c - [47]
25 c - [32]
26 c - [17]
27 p - [8]
28 p - [11]
29 c - [14]
30 c - [33]
31 c - [40]
32 p - [48]
33 p - [27]
34 c - [26]
35 c - [7]
36 c - [42]
37 p - [24]
38 p - [24]
39 c - [8]
40 c - [26]
41 c - [13]
42 p - [45]
43 p - [31]
44 c - [24]
45 c - [36]
46 c - [25]
47 p - [15]
48 p - [9]
49 c - [18]
50 c - [9]
51 c - [18]
52 p - [16]
53 p - [8]
54 c - [7]
55 c - [6]
56 c - [20]
57 p - [34]
58 p - [29]
59 c - [7]
60 c - [9]
61 c - [28]
62 p - [10]
63 p - [21]
64 c - [13]
65 c - [16]
66 c - [14]
67 p - [7]
68 p - [25]
69 c - [31]
70 c - [19]
71 c - [14]
72 p - [12]
73 p - [13]
74 c - [24]
75 c - [35]
76 c - [26]
77 p - [35]
78 p - [16]
79 c - [22]
80 c - [49]
81 c - [54]
82 p - [38]
83 p - [24]
84 c - [27]
85 c - [18]
86 c - [23]
87 p - [24]
88 p - [33]
89 c - [27]
90 c - [23]
91 c - [17]
92 p - [18]
93 p - [24]
94 c - [38]
95 c - [20]
96 c - [32]
97 p - [18]
98 p - [27]
99 c - [19]
100 c - [19]
101 c - [21]
102 p - [21]
103 p - [24]
104 c - [29]
105 c - [23]
106 c - [20]
107 p - [22]
108 p - [23]
109 c - [18]
110 c - [19]
111 c - [16]
112 p - [17]
113 p - [22]
114 c - [23]
115 c - [19]
116 c - [20]
117 p - [21]
118 p - [54]
119 c - [20]
120 c - [23]
121 c - [19]
122 p - [29]
123 p - [19]
124 c - [27]
