#TFM v1.0.8 by tritical
field = bottom
crc32 = 177c1d85
0 c - [17]
1 c - [29]
2 p - [22]
3 p - [15]
4 c - [26]
5 c - [18]
6 c - [24]
7 p - [31]
8 p - [12]
9 c - [23]
10 c - [13]
11 c - [48]
12 p - [15]
13 p - [15]
14 c - [10]
15 c - [12]
16 c - [9]
17 p - [39]
18 p - [14]
19 c - [37]
20 c - [15]
21 c - [31]
22 p - [16]
23 p - [14]
24 c - [13]
25 c - [26]
26 c - [15]
27 p - [29]
28 p - [42]
29 c - [8]
30 c - [9]
31 c - [39]
32 p - [34]
33 p - [12]
34 c - [23]
35 c - [20]
36 c - [33]
37 p - [18]
38 p - [15]
39 c - [16]
40 c - [13]
41 c - [26]
42 p - [31]
43 p - [21]
44 c - [20]
45 c - [22]
46 c - [4]
47 p - [8]
48 p - [11]
49 c - [8]
50 c - [22]
51 c - [24]
52 p - [21]
53 p - [19]
54 c - [8]
55 c - [13]
56 c - [12]
57 p - [32]
58 p - [14]
59 c - [10]
60 c - [22]
61 c - [24]
62 p - [29]
63 p - [15]
64 c - [60]
65 c - [24]
66 c - [35]
67 p - [22]
68 p - [10]
69 c - [11]
70 c - [11]
71 c - [35]
72 p - [40]
73 p - [22]
74 c - [22]
75 c - [16]
76 c - [22]
77 p - [20]
78 p - [18]
79 c - [12]
80 c - [12]
81 c - [20]
82 p - [14]
83 p - [19]
84 c - [23]
85 c - [21]
86 c - [26]
87 p - [32]
88 p - [54]
89 c - [41]
90 c - [24]
91 c - [20]
92 p - [23]
93 p - [28]
94 c - [21]
95 c - [21]
96 c - [38]
97 p - [28]
98 p - [60]
99 c - [25]
100 c - [30]
101 c - [21]
102 p - [29]
103 p - [31]
104 p - [22]
105 c - [38]
106 c - [24]
107 p - [25]
108 p - [17]
109 c - [21]
110 c - [21]
111 c - [21]
112 p - [23]
113 p - [21]
114 c - [39]
115 c - [27]
116 c - [20]
117 p - [18]
118 p - [27]
119 c - [63]
120 c - [27]
121 c - [19]
122 p - [26]
123 p - [35]
124 c - [20]
125 c - [41]
126 c - [23]
127 p - [18]
128 p - [26]
129 p - [27]
130 c - [27]
131 c - [26]
132 p - [22]
133 p - [23]
134 p - [26]
135 c - [26]
136 c - [22]
137 p - [26]
138 p - [28]
139 c - [26]
140 c - [23]
141 c - [22]
142 p - [23]
143 p - [25]
144 c - [19]
145 c - [22]
146 c - [33]
147 p - [35]
148 p - [26]
149 c - [24]
150 c - [24]
151 c - [23]
152 p - [44]
153 p - [56]
154 c - [42]
155 c - [29]
156 c - [25]
157 p - [25]
158 p - [28]
159 c - [27]
160 c - [28]
161 c - [28]
162 p - [29]
163 p - [23]
164 c - [27]
165 c - [29]
166 c - [20]
167 p - [22]
168 p - [24]
169 c - [32]
170 c - [18]
171 c - [25]
172 p - [22]
173 p - [27]
174 c - [70]
175 c - [24]
176 c - [22]
177 p - [20]
178 p - [28]
179 c - [23]
180 c - [24]
181 c - [38]
182 p - [26]
183 p - [21]
184 c - [27]
185 c - [30]
186 c - [31]
187 p - [23]
188 p - [30]
189 c - [39]
190 c - [20]
191 c - [32]
192 p - [21]
193 p - [30]
194 c - [69]
195 c - [20]
196 c - [17]
197 p - [29]
198 p - [23]
199 c - [30]
200 c - [39]
201 c - [24]
202 p - [45]
203 p - [26]
204 c - [23]
205 c - [23]
206 c - [33]
207 p - [24]
208 p - [28]
209 c - [37]
210 c - [30]
211 c - [30]
212 p - [25]
213 p - [22]
214 c - [35]
215 c - [28]
216 p - [21]
217 p - [22]
218 p - [36]
219 c - [27]
220 c - [26]
221 c - [41]
222 p - [37]
223 p - [29]
224 c - [24]
225 c - [24]
226 c - [21]
227 c - [36]
228 p - [26]
229 c - [22]
230 p - [23]
231 c - [24]
232 p - [37]
233 c - [44]
234 c - [24]
235 c - [22]
236 c - [42]
237 p - [27]
238 p - [24]
239 c - [35]
240 c - [0]
241 c - [0]
242 p - [0]
243 p - [0]
244 p - [0]
245 p - [0]
246 p - [0]
247 p - [0]
248 p - [0]
249 p - [0]
250 c - [0]
251 p - [0]
252 p - [0]
253 p - [0]
254 p - [0]
255 p - [1]
256 c - [0]
257 p - [0]
258 p - [0]
259 p - [0]
260 p - [0]
261 p - [0]
262 c - [1]
263 p - [0]
264 p - [1]
265 c - [0]
266 c - [0]
267 p - [0]
268 p - [0]
269 c - [0]
270 c - [0]
271 p - [0]
272 c - [0]
273 p - [3]
274 p - [0]
275 c - [2]
276 p - [1]
277 p - [1]
278 c - [0]
279 p - [0]
280 p - [0]
281 c - [0]
282 p - [0]
283 c - [0]
284 p - [0]
285 c - [0]
286 c - [1]
287 p - [0]
288 p - [0]
289 p - [0]
290 c - [0]
291 p - [0]
292 c - [0]
293 p - [0]
294 c - [0]
295 p - [0]
296 p - [0]
297 p - [0]
298 p - [0]
299 p - [0]
300 c - [0]
301 c - [0]
302 p - [1]
303 c - [0]
304 c - [0]
305 c - [2]
306 c - [0]
307 p - [1]
308 p - [0]
309 c - [0]
310 p - [0]
311 p - [0]
312 c - [0]
313 p - [0]
314 p - [0]
315 c - [0]
316 p - [0]
317 p - [0]
318 p - [0]
319 c - [0]
320 p - [0]
321 c - [0]
322 p - [0]
323 p - [0]
324 p - [0]
325 c - [0]
326 c - [4]
327 p - [1]
328 p - [0]
329 p - [3]
330 c - [0]
331 p - [0]
332 p - [0]
333 c - [0]
334 p - [0]
335 p - [0]
336 c - [0]
337 p - [2]
338 p - [0]
339 c - [1]
340 p - [0]
341 c - [5]
342 p - [2]
343 p - [0]
344 p - [0]
345 c - [2]
346 p - [0]
347 p - [0]
348 p - [0]
349 c - [1]
350 c - [0]
351 c - [0]
352 p - [0]
353 p - [0]
354 p - [1]
355 c - [1]
356 p - [1]
357 p - [0]
358 p - [0]
359 c - [2]
360 p - [0]
361 p - [0]
362 p - [0]
363 p - [0]
364 c - [1]
365 c - [3]
366 c - [0]
367 p - [0]
368 p - [1]
369 p - [0]
370 c - [1]
371 c - [0]
372 p - [0]
373 p - [2]
374 c - [0]
375 c - [1]
376 c - [0]
377 p - [0]
378 p - [0]
379 c - [0]
380 c - [1]
381 c - [1]
382 p - [17]
383 p - [9]
384 c - [1]
385 c - [0]
386 c - [0]
387 p - [2]
388 p - [1]
389 p - [0]
390 c - [0]
391 c - [8]
392 p - [0]
393 p - [0]
394 c - [3]
395 c - [8]
396 c - [3]
397 p - [13]
398 p - [3]
399 c - [8]
400 c - [2]
401 c - [3]
402 p - [1]
403 p - [3]
404 c - [1]
405 c - [11]
406 c - [7]
407 p - [1]
408 p - [0]
409 c - [6]
410 c - [0]
411 c - [1]
412 p - [1]
413 p - [3]
414 c - [2]
415 c - [2]
416 c - [0]
417 p - [0]
418 p - [2]
419 p - [3]
420 c - [3]
421 c - [11]
422 p - [11]
423 p - [0]
424 c - [2]
425 c - [28]
426 c - [2]
427 p - [3]
428 p - [3]
429 c - [2]
430 c - [3]
431 c - [0]
432 p - [1]
433 p - [4]
434 c - [0]
435 c - [2]
436 c - [3]
437 p - [2]
438 p - [1]
439 c - [1]
440 c - [0]
441 c - [1]
442 p - [2]
443 p - [2]
444 c - [0]
445 c - [5]
446 c - [3]
447 p - [1]
448 p - [0]
449 c - [2]
450 c - [4]
451 c - [11]
452 p - [13]
453 p - [3]
454 c - [13]
455 c - [8]
456 c - [4]
457 p - [5]
458 p - [2]
459 c - [3]
460 c - [7]
461 c - [9]
462 p - [9]
463 p - [7]
464 c - [7]
465 c - [6]
466 c - [5]
467 p - [5]
468 p - [7]
469 c - [6]
470 c - [6]
471 c - [2]
472 p - [5]
473 p - [0]
474 c - [12]
475 c - [2]
476 c - [5]
477 p - [5]
478 p - [6]
479 c - [4]
480 c - [2]
481 c - [5]
482 p - [5]
483 p - [7]
484 c - [10]
485 c - [2]
486 c - [24]
487 p - [19]
488 p - [8]
489 c - [3]
490 c - [11]
491 c - [5]
492 p - [18]
493 p - [7]
494 c - [8]
495 c - [4]
496 c - [2]
497 p - [4]
498 p - [6]
499 c - [1]
500 c - [1]
501 c - [1]
502 p - [2]
503 p - [2]
504 c - [2]
505 c - [0]
506 c - [3]
507 p - [2]
508 c - [14]
509 c - [6]
510 c - [2]
511 c - [2]
512 c - [5]
513 p - [5]
514 c - [3]
515 c - [1]
516 c - [0]
517 p - [1]
518 p - [0]
519 c - [0]
520 c - [1]
521 c - [2]
522 c - [13]
523 p - [2]
524 c - [5]
525 c - [2]
526 c - [3]
527 p - [4]
528 p - [1]
529 c - [1]
530 c - [2]
531 c - [2]
532 p - [4]
533 p - [6]
534 c - [1]
535 c - [2]
536 c - [4]
537 p - [7]
538 c - [30]
539 c - [6]
540 c - [3]
541 c - [0]
542 p - [4]
543 p - [1]
544 c - [1]
545 c - [2]
546 c - [2]
547 c - [15]
548 c - [12]
549 c - [0]
550 c - [0]
551 c - [0]
552 c - [6]
553 c - [16]
554 c - [0]
555 c - [2]
556 c - [0]
557 p - [0]
558 p - [5]
559 c - [0]
560 c - [4]
561 c - [1]
562 p - [5]
563 p - [2]
564 c - [0]
565 c - [2]
566 c - [3]
567 p - [10]
568 p - [4]
569 c - [1]
570 c - [1]
