#TFM v1.0.8 by tritical
field = bottom
crc32 = 51498591
0 c - [13]
1 c - [12]
2 p - [6]
3 p - [29]
4 c - [18]
5 c - [20]
6 c - [20]
7 p - [10]
8 p - [7]
9 c - [15]
10 c - [25]
11 c - [6]
12 p - [10]
13 p - [43]
14 c - [22]
15 c - [6]
16 c - [13]
17 p - [18]
18 p - [21]
19 c - [7]
20 c - [7]
21 c - [21]
22 p - [15]
23 p - [29]
24 c - [67]
25 c - [19]
26 c - [19]
27 p - [11]
28 p - [29]
29 c - [17]
30 c - [15]
31 c - [20]
32 p - [21]
33 p - [48]
34 c - [13]
35 c - [11]
36 c - [12]
37 p - [12]
38 p - [28]
39 c - [29]
40 c - [15]
41 c - [27]
42 p - [50]
43 p - [24]
44 c - [17]
45 c - [36]
46 c - [41]
47 p - [26]
48 p - [51]
49 c - [10]
50 c - [23]
51 c - [6]
52 p - [10]
53 p - [57]
54 l + [89]
55 l + [86]
56 c - [13]
57 p - [25]
58 p - [20]
59 c - [28]
60 c - [16]
61 c - [38]
62 p - [17]
63 p - [12]
64 c - [13]
65 c - [13]
66 c - [38]
67 p - [15]
68 p - [6]
69 c - [18]
70 c - [13]
71 c - [6]
72 p - [19]
73 p - [32]
74 c - [14]
75 c - [18]
76 c - [19]
77 p - [20]
78 p - [44]
79 c - [14]
80 c - [31]
81 l + [88]
82 p - [14]
83 p - [33]
84 c - [27]
85 c - [19]
86 c - [16]
87 p - [30]
88 p - [22]
89 c - [20]
90 c - [22]
91 c - [20]
92 p - [22]
93 p - [21]
94 c - [18]
95 c - [19]
96 c - [22]
97 p - [28]
98 p - [22]
99 c - [21]
100 c - [27]
101 c - [18]
102 p - [16]
103 p - [27]
104 c - [25]
105 c - [26]
106 c - [19]
107 p - [22]
108 p - [22]
109 p - [34]
110 c - [16]
111 c - [49]
112 p - [37]
113 p - [19]
114 c - [29]
115 c - [24]
116 c - [17]
117 p - [39]
118 p - [24]
119 p - [22]
120 c - [22]
121 c - [19]
122 p - [21]
123 p - [31]
124 c - [22]
125 c - [16]
126 c - [19]
127 p - [39]
128 p - [38]
129 c - [20]
130 c - [23]
131 c - [51]
132 p - [25]
133 p - [30]
134 p - [20]
135 l + [82]
136 l + [83]
137 p - [21]
138 p - [27]
139 c - [25]
140 l + [83]
141 c - [21]
142 p - [35]
143 p - [22]
144 c - [24]
145 c - [23]
146 c - [20]
147 p - [23]
148 p - [19]
149 c - [20]
150 c - [26]
151 c - [26]
152 p - [24]
153 p - [24]
154 c - [25]
155 c - [24]
156 c - [21]
157 p - [23]
158 p - [20]
159 c - [37]
160 c - [36]
161 c - [22]
162 p - [21]
163 p - [23]
164 c - [24]
165 c - [27]
166 c - [20]
167 p - [22]
168 p - [19]
169 l + [101]
170 c - [21]
171 c - [23]
172 p - [21]
173 p - [45]
174 p - [20]
175 c - [23]
176 c - [21]
177 p - [20]
178 p - [19]
179 c - [21]
180 c - [27]
181 c - [16]
182 p - [19]
183 p - [16]
184 c - [16]
185 c - [23]
186 p + [131]
187 p - [17]
188 p - [21]
189 c - [18]
190 c - [25]
191 c - [22]
192 p - [20]
193 p - [34]
194 c - [23]
195 c - [35]
196 c - [51]
197 p - [20]
198 p - [24]
199 c - [17]
200 c - [36]
201 c - [18]
202 p - [19]
203 p - [18]
204 c - [19]
205 c - [38]
206 c - [22]
207 p - [20]
208 p - [18]
209 p - [50]
210 p - [22]
211 c - [31]
212 p - [23]
213 p - [20]
214 c - [46]
215 c - [43]
216 c - [24]
217 p - [56]
218 p - [25]
219 c - [23]
220 c - [25]
221 c - [37]
222 p - [30]
223 p - [41]
224 c - [34]
225 c - [26]
226 c - [28]
227 p - [21]
228 p - [19]
229 c - [23]
230 c - [20]
231 c - [21]
232 c - [51]
233 c - [58]
234 c - [25]
235 c - [21]
236 c - [30]
237 p - [20]
238 p - [25]
239 c - [27]
240 c - [13]
241 c - [17]
242 p - [26]
243 p - [24]
244 c - [6]
245 c - [20]
246 c - [9]
247 p - [28]
248 p - [17]
249 c - [14]
250 c - [18]
251 c - [12]
252 p - [18]
253 p - [15]
254 c - [27]
255 c - [14]
256 c - [44]
257 p - [33]
258 p - [24]
259 c - [21]
260 c - [27]
261 c - [23]
262 p - [16]
263 p - [6]
264 c - [5]
265 c - [19]
266 c - [25]
267 p - [40]
268 p - [24]
269 c - [14]
270 c - [26]
271 c - [13]
272 p - [29]
273 p - [64]
274 c - [30]
275 c - [15]
276 c - [20]
277 p - [31]
278 p - [53]
279 c - [25]
280 c - [38]
281 c - [32]
282 p - [57]
283 p - [37]
284 c - [16]
285 c - [59]
286 c - [22]
287 p - [17]
288 p - [49]
289 c - [55]
290 c - [39]
291 l + [96]
292 p - [14]
293 p - [48]
294 c - [18]
295 c - [6]
296 c - [5]
297 p - [10]
298 p - [66]
299 c - [13]
300 c - [8]
301 c - [11]
302 p - [6]
303 p - [29]
304 l + [88]
305 c - [18]
306 c - [24]
307 p - [13]
308 p - [13]
309 c - [17]
310 c - [29]
311 c - [15]
312 p - [23]
313 p - [21]
314 c - [12]
315 c - [7]
316 c - [19]
317 p - [2]
318 p - [17]
319 c - [17]
320 c - [11]
321 c - [32]
322 p - [9]
323 p - [29]
324 c - [28]
325 c - [12]
326 c - [5]
327 p - [8]
328 p - [6]
329 c - [9]
330 c - [16]
331 c - [23]
332 p - [11]
333 p - [10]
334 p - [9]
335 c - [15]
336 c - [46]
337 p - [32]
338 p - [11]
339 p - [41]
340 c - [6]
341 c - [21]
342 p - [5]
343 p - [15]
344 p - [14]
345 c - [7]
346 c - [14]
347 p - [9]
348 p - [14]
349 p - [8]
350 c - [20]
351 c - [5]
352 p - [11]
353 p - [15]
354 p - [27]
355 c - [17]
356 c - [14]
357 p - [10]
358 p - [20]
359 c - [25]
360 c - [6]
361 c - [18]
362 p - [20]
363 p - [18]
364 c - [10]
365 c - [13]
366 c - [13]
367 p - [13]
368 p - [11]
369 c - [8]
370 c - [9]
371 c - [30]
372 p - [35]
373 p - [29]
374 c - [18]
375 c - [8]
376 c - [10]
377 p - [17]
378 p - [21]
379 c - [20]
380 c - [9]
381 c - [18]
382 p - [10]
383 p - [8]
384 c - [22]
385 c - [15]
386 l + [96]
387 p - [28]
388 p - [9]
389 c - [9]
390 c - [17]
391 c - [6]
