#TFM v1.0.8 by tritical
field = bottom
crc32 = 856f302e
0 c - [0]
1 p - [0]
2 p - [0]
3 p - [1]
4 p - [0]
5 p - [2]
6 c - [0]
7 p - [0]
8 c - [0]
9 p - [1]
10 p - [0]
11 p - [3]
12 p - [0]
13 p - [1]
14 p - [3]
15 p - [0]
16 p - [0]
17 p - [0]
18 p - [5]
19 p - [2]
20 p - [0]
21 p - [2]
22 p - [0]
23 p - [0]
24 p - [0]
25 p - [0]
26 p - [6]
27 p - [2]
28 p - [0]
29 p - [6]
30 p - [0]
31 p - [0]
32 p - [0]
33 p - [0]
34 p - [0]
35 c - [13]
36 c - [58]
37 p - [1]
38 p - [8]
39 p - [20]
40 p - [13]
41 p - [0]
42 p - [80]
43 p - [1]
44 p - [10]
45 p - [1]
46 p - [0]
47 p - [0]
48 p - [6]
49 c - [1]
50 c - [1]
51 p - [0]
52 p - [3]
53 p - [5]
54 p - [0]
55 c - [0]
56 c - [0]
57 p - [0]
58 p - [4]
59 c - [3]
60 c - [0]
61 p - [0]
62 p - [6]
63 p - [3]
64 c - [4]
65 p - [1]
66 c - [9]
67 p + [96]
68 p - [6]
69 c - [4]
70 c - [0]
71 c - [15]
72 p - [2]
73 p + [93]
74 p - [2]
75 c - [3]
76 c - [4]
77 p - [2]
78 p - [2]
79 p - [10]
80 c - [5]
81 l + [92]
82 p - [1]
83 p - [4]
84 p - [6]
85 c - [5]
86 c - [14]
87 p - [17]
88 p - [12]
89 c - [4]
90 c - [2]
91 c - [3]
92 p - [3]
93 p - [11]
94 p - [7]
95 c - [28]
96 c - [12]
97 p - [14]
98 p - [14]
99 p - [8]
100 c - [4]
101 c - [5]
102 p - [6]
103 p - [12]
104 c - [17]
105 c - [6]
106 c - [8]
107 p - [21]
108 p - [9]
109 c - [7]
110 c - [6]
111 c - [14]
112 p - [2]
113 p - [7]
114 c - [1]
115 c - [23]
116 c - [4]
117 p - [5]
118 p - [16]
119 c - [1]
120 c - [8]
121 c - [6]
122 p - [2]
123 p - [6]
124 c - [13]
125 c - [4]
126 c - [23]
127 p - [8]
128 p - [7]
129 c - [2]
130 c - [8]
131 c - [2]
132 p - [6]
133 p - [13]
134 c - [9]
135 c - [17]
136 c - [9]
137 p - [12]
138 p - [21]
139 c - [9]
140 c - [12]
141 c - [21]
142 p - [19]
143 p - [11]
144 c - [15]
145 c - [19]
146 c - [13]
147 p - [19]
148 p - [37]
149 c - [3]
150 c - [5]
151 c - [17]
152 p - [13]
153 p - [6]
154 c - [15]
155 c - [21]
156 c - [35]
157 p - [13]
158 p - [9]
159 c - [10]
160 c - [8]
161 c - [13]
162 p - [25]
163 p - [14]
164 c - [5]
165 c - [14]
166 c - [11]
167 p - [13]
168 p - [14]
169 c - [18]
170 c - [18]
171 c - [30]
172 p - [18]
173 p - [16]
174 c - [13]
175 c - [12]
176 c - [5]
177 p - [7]
178 p - [21]
179 c - [11]
180 c - [23]
181 c - [18]
182 p - [15]
183 p - [22]
184 c - [11]
185 c - [4]
186 u - [10]
187 p - [10]
188 c - [10]
189 c - [8]
190 p - [10]
191 p - [3]
192 c - [5]
193 c - [3]
194 c - [9]
195 p - [6]
196 p - [6]
197 c - [2]
198 c - [4]
199 c - [4]
200 p - [5]
201 p - [8]
202 c - [25]
203 c - [12]
204 c - [12]
205 p - [8]
206 p - [2]
207 c - [11]
208 c - [1]
