#TFM v1.0.8 by tritical
field = bottom
crc32 = 13549c5f
0 c - [34]
1 c - [36]
2 p - [43]
3 p - [12]
4 p - [19]
5 c - [19]
6 c - [5]
7 p - [21]
8 p - [10]
9 c - [22]
10 c - [10]
11 c - [8]
12 p - [20]
13 p - [17]
14 p - [13]
15 c - [16]
16 c - [11]
17 p - [20]
18 p - [11]
19 c - [8]
20 c - [12]
21 c - [15]
22 p - [5]
23 p - [12]
24 c - [21]
25 c - [24]
26 c - [19]
27 p - [22]
28 p - [26]
29 c - [16]
30 c - [38]
31 c - [25]
32 p - [34]
33 p - [16]
34 c - [11]
35 c - [9]
36 c - [24]
37 p - [17]
38 p - [9]
39 c - [13]
40 c - [34]
41 c - [10]
42 p - [12]
43 p - [15]
44 c - [23]
45 c - [15]
46 c - [6]
47 p - [19]
48 p - [19]
49 c - [30]
50 c - [35]
51 c - [24]
52 p - [30]
53 p - [35]
54 c - [18]
55 c - [17]
56 c - [37]
57 p - [24]
58 p - [14]
59 c - [31]
60 c - [9]
61 c - [30]
62 p - [12]
63 p - [56]
64 c - [22]
65 c - [16]
66 c - [21]
67 p - [12]
68 p - [27]
69 c - [11]
70 c - [24]
71 c - [33]
72 p - [14]
73 p - [11]
74 c - [13]
75 c - [39]
76 c - [33]
77 p - [39]
78 p - [40]
79 c - [29]
80 c - [14]
81 c - [16]
82 p - [30]
83 p - [60]
84 c - [37]
85 c - [22]
86 c - [41]
87 p - [32]
88 p - [20]
89 c - [27]
90 c - [18]
91 c - [28]
92 p - [28]
93 p - [32]
94 c - [39]
95 c - [42]
96 c - [30]
97 p - [32]
98 p - [32]
99 c - [23]
100 c - [28]
101 c - [20]
102 p - [33]
103 p - [61]
104 c - [37]
105 c - [38]
106 c - [60]
107 p - [19]
108 p - [20]
109 c - [17]
110 c - [18]
111 c - [17]
112 p - [33]
113 p - [22]
114 c - [24]
115 c - [30]
116 c - [43]
117 p - [23]
118 p - [20]
119 c - [28]
120 c - [21]
121 c - [24]
122 p - [25]
123 p - [24]
124 c - [24]
125 c - [23]
126 c - [29]
127 p - [26]
128 p - [31]
129 c - [25]
130 c - [23]
131 c - [20]
132 p - [30]
133 p - [25]
134 c - [19]
135 c - [33]
136 c - [20]
137 p - [17]
138 p - [21]
139 c - [53]
140 c - [20]
141 c - [35]
142 p - [21]
143 p - [36]
144 c - [18]
145 c - [20]
146 c - [24]
147 p - [21]
148 p - [19]
149 c - [19]
150 c - [26]
151 c - [32]
152 p - [22]
153 p - [23]
154 c - [23]
155 c - [24]
156 c - [22]
157 p - [33]
158 p - [65]
159 c - [22]
160 c - [27]
161 c - [22]
162 p - [24]
163 p - [24]
164 c - [22]
165 c - [23]
166 c - [19]
167 p - [23]
168 p - [22]
169 c - [28]
170 c - [27]
171 c - [23]
172 p - [21]
173 p - [20]
174 c - [23]
175 c - [26]
176 c - [33]
177 p - [21]
178 p - [28]
179 c - [18]
180 c - [26]
181 c - [17]
182 p - [17]
183 p - [44]
184 c - [18]
185 c - [23]
186 c - [29]
187 p - [21]
188 p - [57]
189 c - [23]
190 c - [22]
191 c - [20]
192 p - [17]
193 p - [33]
194 c - [25]
195 c - [23]
196 c - [53]
197 p - [30]
198 p - [37]
199 c - [25]
200 c - [33]
201 c - [21]
202 p - [32]
203 p - [32]
204 c - [36]
205 c - [18]
206 c - [23]
207 p - [53]
208 p - [19]
209 c - [18]
210 c - [21]
211 c - [21]
212 p - [26]
213 p - [24]
214 c - [20]
215 c - [19]
216 c - [36]
217 p - [42]
218 p - [23]
219 c - [25]
220 c - [22]
221 c - [41]
222 p - [21]
223 c - [22]
224 c - [20]
225 p - [47]
226 c - [27]
227 p - [24]
228 p - [24]
229 c - [20]
230 p - [30]
231 c - [24]
232 p - [21]
233 p - [25]
234 c - [30]
235 c - [26]
236 c - [22]
237 p - [21]
238 p - [21]
239 c - [23]
240 c - [27]
241 p - [29]
242 p - [26]
243 c - [17]
244 c - [21]
245 c - [10]
246 c - [20]
247 c - [30]
248 c - [23]
249 c - [17]
250 c - [12]
251 c - [18]
252 c - [39]
253 c - [23]
254 c - [31]
255 c - [16]
256 c - [25]
257 c - [32]
258 p - [51]
259 c - [42]
260 c - [43]
261 c - [11]
262 p - [27]
263 c - [38]
264 c - [17]
265 c - [59]
266 c - [42]
267 p - [75]
268 c - [60]
269 c - [23]
270 c - [21]
271 c - [22]
272 p - [42]
273 p - [42]
274 c - [30]
275 c - [22]
276 c - [36]
277 p - [33]
278 p - [19]
279 c - [16]
280 c - [18]
281 c - [26]
282 p - [28]
283 p - [9]
284 c - [16]
285 c - [26]
286 c - [37]
287 p - [14]
288 p - [23]
289 c - [35]
290 c - [24]
291 c - [14]
292 p - [23]
293 p - [34]
294 c - [41]
295 c - [12]
296 c - [13]
297 p - [22]
298 p - [19]
299 p - [45]
300 l + [83]
301 c - [23]
302 p - [30]
303 p - [44]
304 c - [59]
305 c - [29]
306 c - [67]
307 p - [44]
308 p - [25]
309 c - [26]
310 c - [18]
311 c - [56]
312 p - [37]
313 p - [22]
314 c - [22]
315 c - [19]
316 c - [30]
317 p - [44]
318 p - [23]
319 c - [8]
320 c - [18]
321 c - [13]
322 p - [10]
323 p - [22]
324 c - [16]
325 c - [58]
326 c - [26]
327 p - [14]
328 p - [29]
329 c - [18]
330 c - [41]
331 c - [18]
332 p - [24]
333 p - [19]
334 c - [27]
335 c - [21]
336 c - [20]
337 p - [36]
338 p - [34]
339 c - [30]
340 c - [24]
341 c - [21]
342 p - [27]
343 p - [36]
344 c - [19]
345 c - [25]
346 c - [19]
347 p - [32]
348 p - [20]
349 c - [25]
350 c - [32]
351 c - [25]
352 p - [24]
353 p - [22]
354 c - [17]
355 c - [30]
356 c - [22]
357 p - [17]
358 p - [24]
359 c - [27]
360 c - [18]
361 c - [10]
362 p - [23]
363 p - [46]
364 c - [14]
365 c - [14]
366 c - [15]
367 p - [38]
368 p - [6]
369 c - [31]
370 c - [12]
371 c - [4]
372 p - [8]
373 p - [28]
374 c - [6]
375 c - [10]
376 c - [17]
377 p - [17]
378 p - [7]
379 c - [16]
380 c - [18]
381 c - [12]
382 p - [14]
383 p - [16]
384 c - [17]
385 c - [23]
386 c - [25]
387 p - [20]
388 p - [21]
389 c - [14]
390 c - [7]
391 c - [7]
392 p - [3]
393 p - [7]
394 p - [24]
395 c - [12]
396 c - [4]
397 p - [18]
398 p - [4]
399 c - [10]
400 c - [17]
401 c - [14]
402 p - [10]
403 p - [5]
404 c - [6]
405 c - [7]
406 c - [14]
407 p - [8]
408 p - [16]
409 c - [11]
410 c - [3]
411 c - [9]
412 p - [4]
413 p - [28]
414 c - [7]
415 c - [20]
416 c - [8]
417 p - [22]
418 p - [17]
419 c - [23]
420 c - [30]
421 c - [13]
422 p - [20]
423 p - [12]
424 c - [11]
425 c - [8]
426 c - [14]
427 p - [16]
428 p - [13]
429 c - [8]
430 c - [8]
431 c - [10]
432 p - [4]
433 p - [12]
434 c - [14]
435 c - [6]
436 c - [16]
437 p - [6]
438 p - [26]
439 c - [4]
440 c - [20]
441 c - [19]
442 p - [13]
443 p - [35]
444 c - [2]
445 c - [27]
446 c - [7]
447 p - [4]
448 p - [31]
449 c - [11]
450 c - [10]
451 c - [6]
452 p - [5]
453 p - [2]
454 c - [13]
455 c - [16]
456 c - [5]
457 p - [12]
458 p - [10]
459 p - [3]
460 c - [5]
461 c - [8]
462 p - [8]
463 p - [6]
464 c - [12]
465 c - [17]
466 c - [29]
467 p - [36]
468 p - [20]
469 c - [13]
470 c - [22]
471 c - [20]
472 p - [15]
473 p - [30]
474 c - [5]
475 c - [39]
476 c - [7]
477 p - [6]
478 p - [22]
479 c - [14]
480 c - [13]
481 c - [24]
482 p - [9]
483 p - [14]
484 c - [7]
485 c - [18]
486 c - [11]
487 p - [18]
488 p - [32]
489 c - [27]
490 c - [23]
491 c - [36]
492 p - [39]
493 p - [20]
494 c - [29]
495 c - [31]
496 c - [24]
497 p - [22]
498 p - [24]
499 c - [12]
500 c - [14]
501 c - [5]
502 p - [12]
503 p - [57]
504 c - [6]
505 c - [27]
