#TFM v1.0.8 by tritical
field = bottom
crc32 = 8a27743c
0 c - [29]
1 c - [45]
2 p - [25]
3 p - [19]
4 c - [38]
5 c - [27]
6 c - [10]
7 c - [39]
8 c - [24]
9 c - [19]
10 p - [42]
11 c - [24]
12 c - [45]
13 p - [31]
14 p - [22]
15 p - [26]
16 p - [44]
17 p - [24]
18 p - [39]
19 p - [29]
20 c - [34]
21 p - [54]
22 p - [25]
23 p - [42]
24 c - [22]
25 p - [31]
26 p - [33]
27 c - [20]
28 p - [33]
29 p - [30]
30 c - [18]
31 p - [20]
32 p - [18]
33 p - [18]
34 c - [14]
35 c - [37]
36 c - [16]
37 p - [8]
38 p - [29]
39 c - [26]
40 c - [21]
41 c - [13]
42 p - [21]
43 p - [28]
44 c - [35]
45 c - [11]
46 c - [7]
47 p - [19]
48 p - [3]
49 c - [19]
50 c - [6]
51 c - [12]
52 p - [21]
53 p - [9]
54 c - [6]
55 c - [6]
56 c - [10]
57 p - [4]
58 p - [10]
59 p - [11]
60 c - [8]
61 c - [6]
62 c - [7]
63 p - [8]
64 c - [17]
65 c - [9]
66 c - [22]
67 p - [30]
68 c - [6]
69 c - [6]
70 c - [3]
71 c - [12]
72 c - [10]
73 p - [7]
74 c - [7]
75 c - [6]
76 c - [7]
77 p - [17]
78 c - [5]
79 c - [12]
80 c - [10]
81 c - [6]
82 c - [11]
83 p - [0]
84 c - [5]
85 c - [5]
86 c - [8]
87 c - [6]
88 p - [3]
89 c - [5]
90 c - [26]
91 c - [28]
92 p - [27]
93 p - [15]
94 c - [5]
95 c - [30]
96 c - [17]
97 p - [9]
98 p - [47]
99 c - [23]
100 c - [18]
101 c - [26]
102 p - [9]
103 p - [14]
104 c - [11]
105 c - [14]
106 c - [18]
107 p - [23]
108 p - [23]
109 c - [12]
110 c - [31]
111 c - [26]
112 p - [25]
113 p - [17]
114 c - [37]
115 c - [18]
116 c - [8]
117 p - [34]
118 p - [49]
119 c - [29]
120 c - [29]
121 c - [30]
122 p - [19]
123 p - [12]
124 c - [24]
125 c - [41]
126 c - [40]
127 p - [29]
128 p - [26]
129 c - [21]
130 c - [42]
131 c - [53]
132 p - [45]
133 p - [31]
134 p - [38]
135 c - [19]
136 c - [41]
137 p - [67]
138 p - [54]
139 c - [18]
140 c - [20]
141 c - [19]
142 c - [20]
143 p - [25]
144 c - [37]
145 c - [29]
146 c - [26]
147 p - [25]
148 p - [20]
149 c - [15]
150 c - [16]
151 c - [17]
152 c - [8]
153 p - [16]
154 c - [16]
155 c - [12]
156 c - [4]
157 c - [15]
158 p - [25]
159 p - [40]
160 c - [19]
161 c - [24]
162 c - [8]
163 p - [10]
164 p - [44]
165 p - [42]
166 c - [9]
167 c - [69]
168 c - [59]
169 c - [27]
170 p - [26]
171 c - [19]
172 c - [24]
173 c - [33]
174 p - [17]
175 c - [26]
176 c - [16]
177 c - [16]
