#TFM v1.0.8 by tritical
field = bottom
crc32 = 4ba38ee0
0 c - [13]
1 c - [12]
2 p - [9]
3 p - [25]
4 p - [23]
5 c - [33]
6 c - [13]
7 p - [12]
8 p - [17]
9 c - [10]
10 c - [14]
11 c - [23]
12 p - [40]
13 p - [10]
14 c - [36]
15 c - [37]
16 c - [21]
17 p - [24]
18 p - [35]
19 c - [7]
20 c - [20]
21 c - [35]
22 p - [30]
23 p - [7]
24 c - [15]
25 c - [10]
26 c - [6]
27 p - [32]
28 p - [29]
29 c - [12]
30 c - [16]
31 c - [14]
32 p - [11]
33 p - [11]
34 c - [17]
35 c - [12]
36 c - [14]
37 p - [13]
38 p - [6]
39 c - [26]
40 c - [27]
41 c - [8]
42 p - [5]
43 p - [10]
44 c - [12]
45 c - [27]
46 c - [10]
47 p - [4]
48 p - [16]
49 c - [14]
50 c - [10]
51 c - [22]
52 p - [25]
53 p - [11]
54 c - [7]
55 c - [24]
56 c - [7]
57 p - [8]
58 p - [28]
59 c - [18]
60 c - [29]
61 c - [12]
62 p - [18]
63 p - [8]
64 c - [24]
65 c - [18]
66 c - [29]
67 p - [13]
68 p - [20]
69 c - [12]
70 c - [17]
71 c - [30]
72 p - [26]
73 p - [33]
74 c - [32]
75 c - [30]
76 c - [40]
77 p - [25]
78 p - [17]
79 c - [25]
80 c - [15]
81 c - [7]
82 p - [11]
83 p - [20]
84 c - [24]
85 c - [20]
86 c - [19]
87 p - [22]
88 p - [32]
89 c - [19]
90 c - [25]
91 c - [19]
92 p - [19]
93 p - [22]
94 c - [24]
95 c - [46]
96 c - [31]
97 p - [33]
98 p - [40]
99 c - [24]
100 c - [22]
101 c - [26]
102 p - [26]
103 p - [30]
104 c - [31]
105 c - [26]
106 c - [25]
107 p - [42]
108 p - [18]
109 c - [22]
110 c - [26]
111 c - [16]
112 p - [24]
113 p - [28]
114 c - [21]
115 c - [20]
116 c - [30]
117 p - [32]
118 p - [18]
119 c - [34]
120 c - [21]
121 c - [31]
122 p - [42]
123 p - [22]
124 c - [27]
125 c - [21]
126 c - [30]
127 p - [47]
128 p - [31]
129 c - [22]
130 c - [24]
131 c - [21]
132 p - [30]
133 p - [34]
134 c - [56]
135 c - [21]
136 c - [37]
137 p - [26]
138 p - [25]
139 p - [27]
140 c - [27]
141 c - [29]
142 p - [24]
143 p - [32]
144 c - [24]
145 c - [69]
146 c - [45]
147 p - [20]
148 p - [23]
149 c - [37]
150 c - [58]
151 c - [41]
152 p - [45]
153 p - [38]
154 c - [30]
155 c - [31]
156 c - [21]
157 p - [24]
158 p - [24]
159 p - [35]
160 c - [25]
161 c - [29]
162 p - [31]
163 p - [29]
164 c - [52]
165 c - [21]
166 c - [24]
167 p - [31]
168 p - [27]
169 c - [25]
170 c - [26]
171 c - [42]
172 p - [49]
173 p - [22]
174 c - [32]
175 c - [21]
176 c - [27]
177 p - [46]
178 p - [23]
179 c - [25]
180 c - [16]
181 c - [58]
182 p - [21]
183 p - [19]
184 c - [41]
185 c - [29]
186 c - [30]
187 p - [18]
188 p - [40]
189 c - [51]
190 c - [23]
191 c - [25]
192 p - [22]
193 p - [41]
194 c - [20]
195 c - [20]
196 c - [28]
197 p - [22]
198 p - [19]
199 p - [36]
200 c - [23]
201 c - [38]
202 p - [26]
203 p - [18]
204 p - [50]
205 c - [33]
206 c - [22]
207 p - [26]
208 p - [18]
209 p - [31]
210 c - [26]
211 c - [20]
212 c - [25]
213 c - [37]
214 c - [26]
215 c - [21]
216 c - [31]
217 c - [31]
218 c - [38]
219 c - [29]
220 c - [46]
221 c - [42]
222 p - [20]
223 p - [28]
224 c - [28]
225 c - [32]
226 c - [42]
227 p - [54]
228 c - [43]
229 c - [24]
230 c - [26]
231 c - [25]
232 p - [58]
233 p - [25]
234 c - [22]
235 c - [40]
236 c - [33]
237 p - [33]
238 p - [31]
239 c - [35]
240 c - [22]
241 c - [16]
242 c - [16]
243 p - [16]
244 c - [36]
245 c - [33]
246 c - [18]
247 c - [28]
248 p - [56]
249 c - [49]
250 c - [14]
251 c - [20]
252 c - [15]
253 p - [37]
254 c - [42]
255 c - [60]
256 c - [23]
257 p - [36]
258 c - [38]
259 c - [37]
260 c - [54]
261 c - [17]
262 c - [19]
263 p - [34]
264 c - [39]
265 c - [24]
266 c - [25]
267 p - [41]
268 p - [22]
269 c - [33]
270 c - [42]
271 c - [25]
272 c - [38]
273 p - [32]
274 c - [34]
275 c - [39]
276 c - [25]
277 p - [21]
278 c - [22]
279 c - [25]
280 c - [15]
281 c - [36]
282 p - [25]
283 p - [14]
284 c - [30]
285 c - [29]
286 c - [35]
287 c - [16]
288 c - [23]
289 c - [19]
290 c - [20]
291 c - [28]
292 c - [34]
293 c - [27]
294 c - [19]
295 c - [18]
296 c - [11]
297 c - [14]
298 c - [42]
299 p - [26]
300 p - [27]
301 c - [13]
302 c - [39]
303 c - [32]
304 p - [32]
305 p - [16]
306 c - [34]
307 c - [13]
308 c - [17]
309 p - [24]
310 p - [25]
311 c - [18]
312 c - [14]
313 c - [25]
314 p - [32]
315 p - [15]
316 c - [15]
317 c - [18]
318 c - [16]
319 p - [32]
320 p - [18]
321 c - [12]
322 c - [29]
323 c - [35]
324 p - [20]
325 p - [42]
326 c - [18]
327 c - [25]
328 c - [34]
329 p - [33]
330 p - [36]
331 c - [37]
332 c - [11]
333 c - [34]
334 p - [24]
335 p - [36]
336 c - [16]
337 c - [37]
338 c - [28]
339 p - [24]
340 p - [27]
341 c - [63]
342 c - [10]
343 c - [43]
344 p - [37]
345 p - [16]
346 c - [41]
347 c - [23]
348 c - [13]
349 p - [38]
350 p - [32]
351 c - [41]
352 c - [34]
353 c - [14]
354 p - [29]
355 p - [18]
356 c - [19]
357 c - [38]
358 c - [24]
359 p - [35]
360 p - [34]
361 c - [25]
362 c - [29]
363 c - [14]
364 p - [14]
365 p - [18]
366 c - [16]
367 c - [27]
368 c - [67]
369 p - [37]
370 p - [21]
371 c - [17]
372 c - [64]
373 c - [42]
374 p - [31]
375 p - [21]
376 c - [27]
377 c - [47]
378 c - [7]
379 p - [22]
380 p - [31]
381 c - [30]
382 c - [23]
383 c - [12]
384 p - [26]
385 p - [20]
386 c - [18]
387 c - [18]
388 c - [33]
389 p - [12]
390 p - [34]
