#TFM v1.0.8 by tritical
field = bottom
crc32 = e8c37241
0 c - [0]
1 p - [2]
2 p - [0]
3 c - [0]
4 p - [2]
5 c - [0]
6 p - [0]
7 p - [0]
8 p - [0]
9 c - [0]
10 c - [0]
11 p - [0]
12 p - [0]
13 p - [0]
14 c - [0]
15 c - [0]
16 c - [0]
17 c - [0]
18 c - [0]
19 c - [0]
20 c - [0]
21 c - [0]
22 p - [0]
23 p - [0]
24 p - [0]
25 c - [6]
26 c - [4]
27 p - [4]
28 p - [7]
29 p - [0]
30 c - [0]
31 c - [0]
32 p - [1]
33 p - [1]
34 c - [4]
35 c - [1]
36 c - [0]
37 p - [1]
38 p - [4]
39 c - [0]
40 c - [1]
41 c - [1]
42 p - [3]
43 p - [1]
44 c - [14]
45 c - [2]
46 c - [1]
47 p - [5]
48 p - [9]
49 c - [5]
50 c - [2]
51 c - [6]
52 p - [5]
53 p - [6]
54 c - [11]
55 c - [6]
56 c - [14]
57 p - [13]
58 p - [22]
59 c - [12]
60 c - [5]
61 c - [16]
62 c - [6]
63 c - [16]
64 p - [13]
65 p - [7]
66 c - [9]
67 p - [5]
68 p - [19]
69 c - [18]
70 c - [15]
71 c - [10]
72 c - [15]
73 p - [15]
74 c - [12]
75 c - [14]
76 c - [12]
77 c - [8]
78 c - [5]
79 c - [16]
80 c - [9]
81 c - [4]
82 c - [8]
83 c - [13]
84 c - [5]
85 p - [20]
86 c - [5]
87 c - [15]
88 c - [3]
89 c - [9]
90 p - [4]
91 c - [15]
92 p - [5]
93 p - [10]
94 c - [21]
95 c - [8]
96 c - [8]
97 p - [15]
98 p - [14]
99 p - [5]
100 c - [5]
101 c - [14]
102 p - [7]
103 p - [9]
104 c - [10]
105 c - [0]
106 c - [6]
107 p - [6]
108 p - [10]
109 c - [17]
110 c - [5]
111 c - [16]
112 p - [3]
113 p - [3]
114 p - [5]
115 c - [5]
116 c - [22]
117 p - [6]
118 p - [7]
119 c - [4]
120 c - [19]
121 c - [16]
122 p - [8]
123 p - [9]
124 c - [1]
125 c - [7]
126 c - [5]
127 p - [4]
128 p - [6]
129 c - [12]
130 c - [6]
131 c - [17]
132 p - [29]
133 p - [11]
134 c - [22]
135 c - [10]
136 c - [23]
137 p - [21]
138 p - [21]
139 c - [13]
140 c - [37]
141 c - [11]
142 p - [12]
143 p - [8]
144 c - [12]
145 c - [12]
146 c - [11]
147 p - [12]
148 p - [9]
149 c - [11]
150 c - [25]
151 c - [39]
152 p - [31]
153 p - [24]
154 c - [8]
155 c - [13]
156 c - [12]
157 p - [30]
158 p - [11]
159 c - [11]
160 c - [19]
161 c - [16]
162 p - [15]
163 p - [11]
164 c - [11]
165 c - [10]
166 c - [9]
167 p - [9]
168 p - [11]
169 c - [7]
170 c - [9]
171 c - [11]
172 p - [22]
173 p - [11]
174 c - [10]
175 c - [12]
176 c - [8]
177 p - [10]
178 p - [14]
179 c - [15]
180 c - [11]
181 c - [13]
182 p - [14]
183 p - [10]
184 c - [13]
185 c - [15]
186 c - [14]
187 p - [8]
188 p - [10]
189 c - [13]
190 c - [16]
191 c - [20]
192 p - [23]
193 p - [17]
194 c - [23]
195 c - [12]
196 c - [27]
197 p - [39]
198 p - [15]
199 c - [21]
200 c - [10]
201 c - [12]
202 p - [16]
203 p - [13]
204 c - [18]
205 c - [35]
206 c - [13]
207 p - [10]
208 p - [15]
209 c - [17]
210 c - [17]
211 c - [24]
212 p - [33]
213 p - [24]
214 c - [10]
215 c - [19]
216 c - [18]
217 p - [19]
218 p - [10]
219 c - [16]
220 c - [10]
221 c - [11]
222 p - [12]
223 p - [9]
224 c - [19]
225 c - [28]
226 c - [12]
227 p - [11]
228 p - [12]
229 c - [9]
230 c - [9]
231 c - [10]
232 p - [9]
233 p - [20]
234 c - [11]
235 c - [9]
236 c - [9]
237 p - [21]
238 p - [10]
239 c - [12]
240 c - [10]
241 c - [13]
242 p - [21]
243 p - [9]
244 c - [10]
245 c - [18]
246 c - [19]
247 p - [15]
248 p - [16]
249 c - [17]
250 c - [42]
251 c - [8]
252 p - [10]
253 p - [17]
254 c - [10]
255 c - [31]
256 c - [10]
257 c - [39]
258 c - [27]
259 c - [9]
260 c - [7]
261 c - [9]
262 p - [13]
263 c - [22]
264 c - [21]
265 c - [3]
266 c - [5]
267 c - [22]
268 c - [32]
269 c - [15]
270 c - [7]
271 c - [13]
272 c - [27]
273 c - [26]
274 c - [5]
275 c - [5]
276 c - [12]
277 c - [33]
278 c - [19]
279 c - [22]
280 c - [18]
281 c - [11]
282 p - [21]
283 p - [24]
284 c - [17]
285 c - [19]
286 c - [16]
287 p - [16]
288 p - [11]
289 c - [11]
290 c - [7]
291 c - [5]
292 c - [37]
293 c - [24]
294 c - [9]
295 c - [6]
296 c - [16]
297 p - [23]
298 c - [26]
299 c - [13]
300 c - [17]
301 c - [10]
302 c - [25]
303 p - [8]
304 c - [6]
305 c - [6]
306 c - [11]
307 c - [30]
308 p - [12]
309 c - [9]
310 c - [10]
311 c - [27]
312 p - [12]
313 c - [40]
314 c - [16]
315 c - [14]
316 c - [14]
317 p - [13]
318 p - [12]
319 c - [11]
320 c - [18]
321 c - [13]
322 c - [30]
323 p - [7]
324 c - [14]
325 c - [8]
326 c - [6]
327 p - [10]
328 c - [29]
329 c - [9]
330 c - [14]
331 c - [21]
332 p - [22]
333 p - [28]
334 c - [12]
335 c - [33]
336 c - [13]
337 p - [18]
338 p - [21]
339 c - [13]
340 c - [13]
