#TFM v1.0.8 by tritical
field = bottom
crc32 = fd63f8e1
0 c - [7]
1 c - [9]
2 p - [7]
3 p - [10]
4 p - [29]
5 c - [26]
6 c - [9]
7 p - [6]
8 p - [9]
9 c - [8]
10 c - [9]
11 c - [5]
12 p - [9]
13 p - [42]
14 c - [16]
15 c - [5]
16 c - [4]
17 p - [31]
18 p - [10]
19 c - [17]
20 c - [7]
21 c - [17]
22 p - [46]
23 p - [34]
24 c - [28]
25 c - [22]
26 c - [9]
27 p - [13]
28 p - [15]
29 c - [20]
30 c - [19]
31 c - [6]
32 p - [20]
33 p - [22]
34 c - [12]
35 c - [18]
36 c - [35]
37 p - [18]
38 p - [41]
39 c - [22]
40 c - [33]
41 c - [35]
42 p - [20]
43 p - [38]
44 c - [17]
45 c - [7]
46 c - [13]
47 p - [52]
48 p - [19]
49 c - [45]
50 c - [36]
51 c - [26]
52 p - [12]
53 p - [22]
54 p - [15]
55 c - [23]
56 c - [5]
57 p - [10]
58 p - [38]
59 c - [13]
60 c - [8]
61 c - [9]
62 p - [27]
63 p - [23]
64 c - [29]
65 c - [17]
66 c - [22]
67 p - [21]
68 p - [22]
69 c - [37]
70 c - [15]
71 c - [19]
72 p - [34]
73 p - [6]
74 c - [16]
75 c - [18]
76 c - [20]
77 p - [54]
78 p - [25]
79 c - [27]
80 c - [12]
81 c - [25]
82 p - [21]
83 p - [21]
84 c - [21]
85 c - [20]
86 c - [24]
87 p - [44]
88 p - [38]
89 c - [18]
90 c - [22]
91 c - [20]
92 p - [21]
93 p - [23]
94 c - [26]
95 c - [32]
96 c - [21]
97 p - [21]
98 p - [38]
99 p - [35]
100 c - [23]
101 c - [23]
102 p - [23]
103 p - [23]
104 c - [21]
105 c - [23]
106 c - [22]
107 p - [27]
108 p - [19]
109 c - [33]
110 c - [26]
111 c - [23]
112 p - [28]
113 p - [20]
114 c - [27]
115 c - [37]
116 c - [20]
117 p - [23]
118 p - [21]
119 c - [24]
120 c - [22]
121 c - [22]
122 p - [24]
123 p - [31]
124 c - [26]
125 c - [20]
126 c - [19]
127 p - [24]
128 p - [32]
129 c - [19]
130 c - [22]
131 c - [22]
132 p - [30]
133 p - [21]
134 c - [30]
135 c - [23]
136 c - [19]
137 p - [18]
138 p - [21]
139 c - [21]
140 c - [24]
141 c - [24]
142 p - [36]
143 p - [26]
144 c - [20]
145 c - [21]
146 c - [21]
147 p - [22]
148 p - [26]
149 c - [24]
150 c - [21]
151 c - [23]
152 p - [23]
153 p - [36]
154 c - [41]
155 c - [26]
156 c - [29]
157 p - [24]
158 p - [23]
159 c - [24]
160 c - [25]
161 c - [23]
162 p - [20]
163 p - [23]
164 p - [23]
165 c - [20]
166 c - [28]
167 p - [24]
168 p - [31]
169 c - [21]
170 c - [32]
171 c - [24]
172 p - [24]
173 p - [33]
174 c - [21]
175 c - [23]
176 c - [20]
177 p - [33]
178 p - [24]
179 c - [44]
180 c - [76]
181 c - [22]
182 p - [28]
183 p - [26]
184 c - [20]
185 c - [27]
186 c - [19]
187 p - [28]
188 p - [25]
189 c - [18]
190 c - [18]
191 c - [22]
192 p - [23]
193 p - [23]
194 c - [24]
195 c - [20]
196 c - [28]
197 p - [21]
198 p - [27]
199 c - [17]
200 c - [17]
201 c - [29]
202 p - [22]
203 p - [22]
204 c - [18]
205 c - [20]
206 c - [33]
207 p - [42]
208 p - [21]
209 c - [23]
210 c - [25]
211 c - [32]
212 c - [33]
213 c - [53]
214 p - [21]
215 c - [26]
216 c - [21]
217 p - [21]
218 p - [21]
219 c - [24]
220 c - [19]
221 c - [31]
222 p - [25]
223 c - [26]
224 p - [22]
225 c - [20]
226 c - [23]
227 p - [23]
228 p - [22]
229 c - [23]
230 c - [28]
231 c - [25]
232 p - [23]
233 p - [25]
234 p - [31]
235 c - [21]
236 c - [20]
237 p - [24]
238 p - [34]
239 c - [20]
240 c - [2]
241 c - [0]
242 p - [1]
243 p - [4]
244 c - [7]
245 c - [3]
246 c - [1]
247 p - [2]
248 p - [1]
249 c - [3]
250 c - [6]
251 c - [1]
252 p - [10]
253 p - [9]
254 c - [9]
255 c - [9]
256 c - [10]
257 p - [0]
258 p - [5]
259 c - [7]
260 c - [21]
261 c - [6]
262 p - [6]
263 p - [17]
264 c - [4]
265 c - [11]
266 c - [4]
267 p - [5]
268 p - [6]
269 c - [12]
270 c - [6]
271 c - [18]
272 p - [16]
273 p - [3]
274 p - [14]
275 c - [4]
276 c - [12]
277 p - [12]
278 p - [10]
279 c - [11]
280 c - [24]
281 c - [2]
282 p - [4]
283 p - [3]
284 c - [12]
285 c - [3]
286 c - [5]
