#TFM v1.0.8 by tritical
field = bottom
crc32 = e5a9316d
0 c - [12]
1 c - [16]
2 p - [19]
3 p - [18]
4 c - [11]
5 c - [63]
6 c - [9]
7 p - [22]
8 p - [15]
9 p - [16]
10 c - [9]
11 c - [6]
12 p - [12]
13 p - [28]
14 c - [54]
15 c - [22]
16 c - [29]
17 p - [20]
18 p - [32]
19 p - [13]
20 c - [28]
21 c - [11]
22 p - [9]
23 p - [21]
24 c - [12]
25 c - [19]
26 c - [13]
27 p - [23]
28 p - [8]
29 c - [50]
30 c - [15]
31 c - [48]
32 p - [36]
33 p - [20]
34 c - [40]
35 c - [39]
36 c - [39]
37 p - [23]
38 p - [49]
39 c - [15]
40 c - [26]
41 c - [14]
42 p - [15]
43 p - [27]
44 c - [27]
45 c - [7]
46 c - [11]
47 p - [12]
48 p - [50]
49 c - [14]
50 c - [33]
51 c - [11]
52 p - [11]
53 p - [11]
54 c - [12]
55 c - [12]
56 c - [8]
57 p - [38]
58 p - [29]
59 c - [22]
60 c - [11]
61 c - [45]
62 p - [60]
63 p - [11]
64 c - [28]
65 c - [11]
66 c - [16]
67 p - [38]
68 p - [27]
69 c - [46]
70 c - [14]
71 c - [5]
72 p - [5]
73 p - [17]
74 c - [16]
75 c - [15]
76 c - [44]
77 p - [40]
78 p - [35]
79 p - [21]
80 c - [46]
81 c - [7]
82 p - [21]
83 p - [29]
84 c - [20]
85 c - [19]
86 c - [19]
87 p - [19]
88 p - [33]
89 c - [24]
90 c - [60]
91 c - [21]
92 p - [25]
93 p - [25]
94 c - [25]
95 c - [45]
96 c - [26]
97 p - [24]
98 p - [28]
99 c - [68]
100 c - [28]
101 c - [55]
102 p - [21]
103 p - [33]
104 c - [30]
105 c - [21]
106 c - [20]
107 p - [25]
108 p - [18]
109 c - [18]
110 c - [27]
111 c - [40]
112 p - [65]
113 p - [45]
114 c - [42]
115 c - [35]
116 c - [24]
117 p - [25]
118 p - [32]
119 p - [37]
120 c - [18]
121 c - [19]
122 p - [19]
123 p - [24]
124 c - [19]
125 c - [22]
126 c - [44]
127 p - [25]
128 p - [27]
129 c - [27]
130 c - [22]
131 c - [25]
132 p - [25]
133 p - [67]
134 c - [24]
135 c - [18]
136 c - [22]
137 p - [22]
138 p - [50]
139 c - [22]
140 c - [20]
141 c - [17]
142 p - [35]
143 p - [22]
144 c - [19]
145 c - [21]
146 c - [29]
147 p - [30]
148 p - [47]
149 c - [42]
150 c - [24]
151 c - [23]
152 p - [26]
153 p - [27]
154 c - [20]
155 c - [22]
156 c - [25]
157 p - [22]
158 p - [22]
159 c - [22]
160 c - [28]
161 c - [23]
162 p - [25]
163 p - [23]
164 c - [22]
165 c - [22]
166 c - [21]
167 p - [21]
168 p - [27]
169 c - [32]
170 c - [20]
171 c - [32]
172 p - [23]
173 p - [37]
174 c - [29]
175 c - [19]
176 c - [22]
177 c - [72]
178 p - [19]
179 c - [23]
180 c - [32]
181 c - [25]
182 p - [41]
183 p - [23]
184 c - [32]
185 c - [28]
