#TFM v1.0.8 by tritical
field = bottom
crc32 = 6485e874
0 c - [20]
1 p - [27]
2 c - [23]
3 c - [29]
4 c - [37]
5 p - [17]
6 p - [24]
7 p - [15]
8 c - [54]
9 c - [42]
10 p - [19]
11 p - [36]
12 c - [32]
13 c - [23]
14 c - [26]
15 p - [18]
16 p - [28]
17 c - [9]
18 c - [38]
19 c - [19]
20 p - [23]
21 p - [4]
22 c - [36]
23 c - [15]
24 c - [21]
25 p - [16]
26 p - [29]
27 c - [32]
28 c - [25]
29 c - [26]
30 p - [53]
31 p - [14]
32 c - [25]
33 c - [14]
34 c - [33]
35 p - [29]
36 p - [17]
37 c - [19]
38 c - [11]
39 c - [16]
40 p - [12]
41 p - [31]
42 c - [19]
43 c - [11]
44 c - [12]
45 p - [11]
46 p - [23]
47 c - [8]
48 c - [23]
49 c - [7]
50 p - [8]
51 p - [9]
52 c - [7]
53 c - [21]
54 c - [9]
55 p - [10]
56 p - [7]
57 c - [27]
58 c - [19]
59 c - [21]
60 p - [15]
61 p - [20]
62 c - [22]
63 c - [13]
64 c - [27]
65 p - [27]
66 p - [27]
67 c - [20]
68 c - [34]
69 c - [10]
70 p - [9]
71 p - [10]
72 c - [13]
73 c - [14]
74 c - [12]
75 p - [34]
76 p - [21]
77 c - [16]
78 c - [7]
79 c - [16]
80 p - [14]
81 p - [11]
82 c - [20]
83 c - [13]
84 c - [26]
85 p - [26]
86 p - [12]
87 c - [10]
88 c - [9]
89 c - [9]
90 p - [13]
91 p - [10]
92 p - [16]
93 c - [12]
94 c - [15]
95 p - [13]
96 p - [7]
97 c - [12]
98 c - [13]
99 c - [11]
100 p - [13]
101 p - [11]
102 c - [11]
103 c - [11]
104 c - [16]
105 p - [19]
106 p - [10]
107 c - [10]
108 c - [13]
109 c - [18]
110 p - [14]
111 p - [14]
112 c - [9]
113 c - [15]
114 c - [12]
115 c - [17]
116 p - [16]
117 c - [20]
118 c - [18]
119 c - [37]
120 c - [24]
121 p - [20]
122 c - [10]
123 p - [24]
124 c - [9]
125 p - [14]
126 c - [20]
127 c - [6]
128 p - [18]
129 c - [24]
130 p - [10]
131 p - [14]
132 c - [25]
133 c - [16]
134 c - [22]
135 p - [17]
136 p - [15]
137 c - [12]
138 c - [13]
139 c - [16]
140 p - [14]
141 p - [16]
142 p - [15]
143 c - [21]
144 c - [18]
145 p - [14]
146 p - [14]
147 c - [11]
148 c - [12]
149 c - [14]
150 c - [19]
151 p - [6]
152 c - [18]
153 c - [13]
154 p - [19]
155 c - [18]
156 c - [30]
157 p - [13]
158 c - [12]
159 c - [10]
160 p - [11]
161 p - [10]
162 c - [11]
163 c - [9]
164 c - [9]
165 p - [11]
166 p - [14]
167 c - [11]
168 c - [8]
169 c - [9]
170 p - [9]
171 p - [8]
172 c - [4]
173 c - [7]
174 c - [8]
175 p - [10]
176 p - [14]
177 c - [16]
178 c - [12]
179 c - [10]
180 p - [19]
181 p - [7]
182 c - [10]
183 c - [6]
184 c - [7]
185 c - [12]
186 p - [7]
187 p - [21]
188 c - [9]
189 c - [16]
190 p - [19]
191 p - [18]
192 c - [16]
193 c - [15]
194 c - [13]
195 p - [14]
196 p - [8]
197 c - [18]
198 c - [22]
199 c - [17]
200 c - [22]
201 c - [21]
202 c - [8]
203 c - [11]
204 c - [6]
205 p - [5]
206 p - [18]
207 c - [6]
208 c - [11]
209 c - [8]
210 p - [7]
211 p - [13]
212 c - [19]
213 c - [16]
214 c - [11]
215 p - [6]
216 p - [19]
217 c - [9]
218 c - [15]
219 c - [23]
220 p - [12]
221 p - [33]
222 c - [16]
223 c - [12]
224 c - [15]
225 p - [18]
226 p - [25]
227 c - [21]
228 c - [17]
229 c - [13]
230 p - [12]
231 p - [9]
232 p - [10]
233 c - [11]
234 c - [9]
235 p - [11]
236 p - [21]
237 c - [14]
238 c - [27]
239 c - [12]
240 p - [15]
241 p - [13]
242 c - [12]
243 c - [19]
244 c - [24]
245 p - [20]
246 p - [25]
247 p - [22]
248 c - [16]
249 c - [17]
250 p - [35]
251 p - [16]
252 c - [24]
253 c - [23]
254 c - [16]
255 p - [16]
256 p - [17]
257 c - [16]
258 c - [16]
259 c - [26]
260 c - [15]
261 c - [7]
262 p - [14]
263 c - [6]
264 c - [7]
265 c - [10]
266 c - [5]
267 p - [4]
268 p - [10]
269 c - [10]
270 c - [12]
271 c - [9]
272 p - [6]
273 p - [26]
274 c - [8]
275 c - [8]
276 c - [12]
277 p - [13]
278 p - [9]
279 c - [6]
280 c - [8]
281 c - [11]
282 p - [12]
283 p - [11]
284 c - [7]
285 c - [20]
286 c - [11]
287 p - [9]
288 p - [9]
289 c - [12]
290 c - [11]
291 c - [11]
292 p - [12]
293 p - [24]
294 c - [7]
295 c - [18]
296 c - [33]
297 p - [9]
298 p - [9]
299 c - [17]
300 c - [6]
301 c - [6]
302 p - [4]
303 p - [15]
304 c - [8]
305 c - [9]
306 c - [3]
307 p - [19]
308 p - [20]
309 c - [50]
310 c - [9]
311 c - [42]
312 p - [24]
313 p - [6]
314 p - [9]
315 c - [17]
316 c - [18]
317 p - [8]
318 p - [25]
319 c - [6]
320 c - [18]
321 c - [18]
322 p - [12]
323 p - [31]
324 c - [6]
325 c - [8]
326 c - [11]
327 p - [17]
328 p - [26]
329 c - [20]
330 c - [6]
331 c - [7]
332 p - [8]
333 p - [9]
334 c - [18]
335 c - [7]
336 c - [13]
337 p - [32]
338 p - [10]
339 c - [11]
340 c - [15]
341 c - [18]
342 p - [20]
343 p - [13]
344 c - [10]
345 c - [28]
346 c - [7]
347 p - [12]
348 p - [31]
349 c - [9]
350 c - [25]
351 c - [15]
352 p - [21]
353 p - [22]
354 c - [14]
355 c - [36]
356 c - [22]
357 p - [13]
358 p - [37]
359 c - [27]
360 c - [27]
361 c - [26]
362 p - [54]
363 p - [30]
364 c - [23]
365 c - [7]
366 c - [42]
367 p - [57]
368 p - [30]
