#TFM v1.0.8 by tritical
field = bottom
crc32 = 1ab828f7
0 c - [31]
1 c - [13]
2 p - [21]
3 p - [26]
4 c - [12]
5 c - [9]
6 c - [3]
7 p - [11]
8 p - [5]
9 p - [14]
10 c - [28]
11 c - [24]
12 p - [17]
13 p - [5]
14 p - [20]
15 c - [7]
16 c - [12]
17 p - [18]
18 p - [3]
19 c - [3]
20 c - [11]
21 c - [9]
22 p - [4]
23 p - [19]
24 c - [14]
25 c - [34]
26 c - [17]
27 p - [17]
28 p - [19]
29 c - [13]
30 c - [20]
31 c - [3]
32 p - [6]
33 p - [5]
34 c - [14]
35 c - [6]
36 c - [3]
37 p - [16]
38 p - [24]
39 c - [8]
40 c - [6]
41 c - [8]
42 p - [29]
43 p - [12]
44 c - [4]
45 c - [12]
46 c - [10]
47 p - [11]
48 p - [28]
49 c - [11]
50 c - [7]
51 c - [17]
52 p - [15]
53 p - [8]
54 l + [81]
55 c - [19]
56 c - [35]
57 p - [35]
58 p - [24]
59 c - [10]
60 c - [21]
61 c - [13]
62 p - [23]
63 p - [18]
64 c - [6]
65 c - [11]
66 c - [29]
67 p - [28]
68 p - [20]
69 c - [23]
70 c - [7]
71 c - [12]
72 p - [6]
73 p - [21]
74 p - [15]
75 c - [11]
76 c - [16]
77 p - [17]
78 p - [44]
79 c - [8]
80 c - [18]
81 c - [12]
82 p - [14]
83 p - [21]
84 c - [22]
85 c - [22]
86 c - [18]
87 p - [29]
88 p - [32]
89 c - [20]
90 c - [24]
91 c - [32]
92 p - [19]
93 p - [27]
94 c - [38]
95 c - [20]
96 c - [19]
97 p - [22]
98 p - [26]
99 p - [35]
100 c - [31]
101 c - [31]
102 p - [36]
103 p - [31]
104 c - [32]
105 c - [31]
106 c - [32]
107 p - [32]
108 p - [30]
109 c - [31]
110 c - [29]
111 c - [31]
112 p - [31]
113 p - [29]
114 c - [29]
115 c - [32]
116 c - [31]
117 p - [27]
118 p - [29]
119 p - [29]
120 c - [32]
121 c - [32]
122 p - [32]
123 p - [31]
124 c - [33]
125 c - [53]
126 c - [31]
127 p - [30]
128 p - [32]
129 c - [40]
130 c - [32]
131 c - [28]
132 p - [27]
133 p - [23]
134 c - [29]
135 c - [28]
136 c - [32]
137 p - [32]
138 p - [45]
139 c - [29]
140 c - [32]
141 c - [31]
142 p - [29]
143 p - [29]
144 c - [32]
145 c - [32]
146 c - [31]
147 p - [43]
148 p - [32]
149 c - [31]
150 c - [30]
151 c - [32]
152 p - [32]
153 p - [30]
154 c - [31]
155 c - [30]
156 c - [32]
157 p - [32]
158 p - [34]
159 c - [30]
160 c - [31]
161 c - [80]
162 p - [44]
163 p - [30]
164 p - [31]
165 c - [32]
166 c - [31]
167 p - [28]
168 p - [30]
169 c - [41]
170 c - [29]
171 c - [32]
172 p - [32]
173 p - [31]
174 c - [31]
175 c - [31]
176 c - [33]
177 p - [31]
178 p - [35]
179 c - [30]
180 c - [31]
181 c - [30]
182 p - [31]
183 p - [30]
184 c - [39]
185 c - [30]
186 c - [32]
187 p - [32]
188 p - [39]
189 c - [31]
190 c - [31]
191 c - [43]
192 p - [45]
193 p - [29]
194 c - [48]
195 c - [30]
196 c - [29]
197 p - [30]
198 p - [30]
199 c - [30]
200 c - [47]
201 c - [28]
202 p - [29]
203 p - [32]
204 c - [32]
205 c - [33]
206 c - [32]
207 p - [32]
208 p - [32]
209 c - [32]
210 c - [31]
211 c - [32]
212 p + [85]
213 p - [32]
214 c - [30]
215 c - [29]
216 p - [39]
217 p - [32]
218 p - [74]
219 c - [38]
220 c - [51]
221 c - [29]
222 p - [29]
223 c - [31]
224 c - [31]
225 c - [39]
226 c - [32]
227 p - [31]
228 c - [32]
229 c - [68]
230 c - [32]
231 c - [32]
232 p - [35]
233 p - [32]
234 c - [30]
235 c - [32]
236 c - [34]
237 c - [53]
238 p - [31]
239 c - [28]
240 c - [0]
241 p - [0]
242 p - [4]
243 p - [13]
244 c - [0]
245 p - [1]
246 p - [5]
247 p - [4]
248 c - [1]
249 c - [0]
250 c - [1]
251 c - [2]
252 c - [3]
253 c - [0]
254 c - [4]
255 c - [0]
256 c - [0]
257 c - [2]
258 c - [4]
259 c - [1]
260 c - [0]
261 c - [1]
262 c - [2]
263 c - [23]
264 c - [17]
265 c - [24]
266 c - [11]
267 c - [30]
268 c - [15]
269 c - [7]
270 c - [19]
271 c - [11]
272 c - [50]
273 c - [20]
274 c - [29]
275 c - [8]
276 c - [14]
277 p - [16]
278 c - [13]
279 c - [44]
280 c - [24]
281 c - [25]
282 p - [16]
283 p - [16]
284 c - [12]
285 c - [61]
286 c - [3]
287 p - [10]
288 p - [13]
289 c - [19]
290 c - [38]
291 c - [29]
292 p - [38]
293 p - [25]
294 c - [26]
295 c - [25]
296 c - [19]
297 p - [14]
298 p - [77]
299 c - [15]
300 c - [50]
301 c - [18]
302 p - [21]
303 p - [69]
304 p - [33]
305 c - [30]
306 c - [38]
307 p - [58]
308 p - [23]
309 p - [29]
310 c - [22]
311 c - [26]
312 p - [59]
313 p - [23]
314 p - [22]
315 c - [38]
316 c - [15]
317 p - [17]
318 p - [30]
319 c - [62]
320 c - [24]
321 c - [18]
322 p - [23]
323 p - [37]
324 c - [26]
325 c - [18]
326 c - [19]
327 p - [20]
328 p - [10]
329 c - [6]
330 c - [13]
331 c - [11]
332 p - [42]
333 p - [18]
334 c - [20]
335 c - [11]
336 c - [24]
337 p - [11]
338 p - [61]
