#TFM v1.0.8 by tritical
field = bottom
crc32 = 276a215
0 c - [2]
1 c - [12]
2 p - [20]
3 p + [87]
4 p - [36]
5 c - [49]
6 c - [43]
7 p - [48]
8 p - [37]
9 c - [13]
10 c - [48]
11 c - [1]
12 p - [21]
13 p - [16]
14 c - [23]
15 c - [10]
16 c - [35]
17 p - [15]
18 p - [6]
19 c - [28]
20 c - [17]
21 c - [17]
22 p - [14]
23 p - [11]
24 c - [5]
25 c - [24]
26 c - [6]
27 p - [18]
28 p - [34]
29 c - [8]
30 l + [82]
31 c - [14]
32 p - [33]
33 p - [8]
34 c - [16]
35 c - [22]
36 c - [17]
37 p - [41]
38 p - [5]
39 c - [30]
40 c - [22]
41 c - [4]
42 p - [35]
43 p - [21]
44 c - [26]
45 c - [15]
46 c - [57]
47 p - [17]
48 p - [35]
49 c - [20]
50 c - [45]
51 c - [18]
52 p - [10]
53 p - [34]
54 c - [5]
55 c - [57]
56 c - [4]
57 p - [17]
58 p - [28]
59 c - [44]
60 c - [49]
61 c - [12]
62 p + [85]
63 p - [30]
64 c - [30]
65 c - [8]
66 c - [17]
67 p - [38]
68 p + [87]
69 c - [45]
70 c - [22]
71 c - [35]
72 p - [24]
73 p - [30]
74 c - [20]
75 c - [15]
76 c - [15]
77 p - [29]
78 p - [64]
79 c - [25]
80 c - [12]
81 c - [55]
82 p - [52]
83 p - [27]
84 c - [35]
85 c - [21]
86 c - [20]
87 p - [78]
88 p - [32]
89 c - [32]
90 c - [19]
91 c - [25]
92 p - [68]
93 p - [36]
94 c - [18]
95 c - [23]
96 c - [26]
97 p - [30]
98 p - [32]
99 c - [22]
100 c - [32]
101 c - [42]
102 p - [20]
103 p - [22]
104 c - [22]
105 c - [26]
106 l + [83]
107 p - [22]
108 p - [46]
109 c - [19]
110 c - [19]
111 c - [19]
112 p - [20]
113 p - [19]
114 c - [22]
115 c - [24]
116 c - [22]
117 p - [32]
118 p - [32]
119 c - [25]
120 c - [24]
121 c - [22]
122 p - [22]
123 p - [26]
124 c - [18]
125 c - [20]
126 c - [19]
127 p - [19]
128 p - [20]
129 c - [41]
130 c - [21]
131 c - [22]
132 p - [21]
133 p - [25]
134 c - [28]
135 c - [22]
136 c - [34]
137 p - [32]
138 p - [23]
139 c - [23]
140 c - [22]
141 c - [41]
142 p - [45]
143 p - [58]
144 p - [30]
145 c - [61]
146 c - [27]
147 p - [20]
148 p - [31]
149 c - [22]
150 c - [22]
151 c - [42]
152 p - [22]
153 p - [42]
154 p - [23]
155 l + [91]
156 c - [23]
157 p - [22]
158 p - [24]
