#TFM v1.0.8 by tritical
field = bottom
crc32 = b3979677
0 c - [7]
1 c - [12]
2 p - [17]
3 p - [76]
4 c - [16]
5 c - [15]
6 c - [12]
7 p - [13]
8 p + [98]
9 p + [96]
10 l + [83]
11 c - [32]
12 p - [47]
13 p - [15]
14 p + [83]
15 l + [87]
16 l + [88]
17 p + [82]
18 p - [19]
19 c - [31]
20 c - [15]
21 c - [3]
22 p - [9]
23 p - [19]
24 c - [33]
25 c - [10]
26 c - [10]
27 p - [7]
28 p - [12]
29 c - [11]
30 c - [7]
31 c - [13]
32 p - [70]
33 p - [19]
34 l + [88]
35 l + [84]
36 l + [85]
37 p - [14]
38 p - [16]
39 c - [19]
40 l + [88]
41 c - [7]
42 p - [12]
43 p - [18]
44 c - [58]
45 c - [25]
46 c - [56]
47 p + [83]
48 p - [37]
49 c - [70]
50 c - [11]
51 c - [15]
52 p - [10]
53 p - [24]
54 l + [91]
55 c - [48]
56 c - [24]
57 p - [5]
58 p - [31]
59 c - [5]
60 c - [31]
61 c - [32]
62 p - [16]
63 p - [36]
64 c - [16]
65 c - [19]
66 l + [90]
67 p - [80]
68 p - [18]
69 p - [24]
70 c - [38]
71 c - [24]
72 p - [10]
73 p - [19]
74 c - [19]
75 c - [31]
76 c - [41]
77 p - [33]
78 p - [38]
79 c - [17]
80 c - [9]
81 c - [12]
82 p - [20]
83 p - [37]
84 c - [25]
85 c - [42]
86 c - [39]
87 p - [19]
88 p - [44]
89 c - [44]
90 l + [83]
91 l + [83]
92 p - [72]
93 p - [25]
94 c - [54]
95 c - [23]
96 c - [24]
97 p - [23]
98 p - [21]
99 c - [22]
100 c - [32]
101 c - [37]
102 p - [20]
103 p - [42]
104 l + [83]
105 c - [21]
106 c - [18]
107 p - [24]
108 p - [29]
109 c - [20]
110 c - [26]
111 c - [23]
112 p - [43]
113 p - [25]
114 c - [20]
115 c - [52]
116 c - [51]
117 p - [39]
118 p - [20]
119 c - [20]
120 c - [23]
121 c - [56]
122 p - [48]
123 p - [26]
124 c - [21]
125 c - [30]
126 c - [38]
127 p - [23]
128 p - [20]
129 c - [26]
130 c - [22]
131 c - [20]
132 p - [20]
133 p - [22]
134 p - [19]
135 c - [61]
136 c - [23]
137 p - [22]
138 p - [30]
139 c - [34]
140 c - [21]
141 c - [19]
142 p - [24]
143 p - [61]
144 c - [24]
145 c - [16]
146 c - [18]
147 p - [20]
148 p - [19]
149 c - [21]
150 c - [24]
151 c - [31]
152 p - [32]
153 p - [41]
154 c - [25]
155 c - [23]
156 c - [23]
157 p - [65]
158 p - [36]
159 c - [23]
160 c - [26]
161 c - [22]
162 p - [23]
163 p - [35]
164 c - [23]
165 c - [22]
166 c - [23]
167 p - [21]
168 p - [20]
169 c - [44]
170 c - [24]
171 c - [22]
172 p - [58]
173 p - [36]
174 c - [38]
175 c - [20]
176 c - [43]
177 p - [26]
178 p - [54]
179 c - [26]
180 c - [20]
181 c - [21]
182 p - [24]
183 p - [20]
184 c - [25]
185 c - [33]
186 c - [24]
187 p - [38]
188 p - [43]
189 c - [29]
190 c - [21]
191 c - [28]
192 p - [56]
193 p - [43]
194 c - [47]
195 c - [20]
196 c - [44]
197 p - [25]
198 p - [20]
199 c - [29]
200 c - [28]
201 c - [29]
202 p - [16]
203 p - [66]
204 c - [32]
205 c - [23]
206 c - [42]
207 p - [51]
208 p - [23]
209 c - [20]
210 c - [24]
211 c - [21]
212 c - [48]
213 p - [24]
214 c - [27]
215 l + [81]
216 c - [20]
217 p - [24]
218 p - [23]
219 p - [23]
220 c - [25]
221 c - [62]
