#TFM v1.0.8 by tritical
field = bottom
crc32 = 4cdd4a77
0 u - [19]
1 p - [19]
2 c - [12]
3 c - [33]
4 c - [15]
5 p - [21]
6 p - [24]
7 p - [16]
8 c - [22]
9 c - [5]
10 p - [14]
11 p - [12]
12 c - [22]
13 c - [6]
14 c - [12]
15 p - [9]
16 p - [53]
17 p - [11]
18 c - [9]
19 c - [16]
20 p - [20]
21 p - [29]
22 c - [29]
23 c - [13]
24 c - [10]
25 p - [11]
26 p - [12]
27 p - [10]
28 c - [15]
29 c - [20]
30 p - [36]
31 p - [20]
32 c - [11]
33 c - [9]
34 c - [9]
35 p - [17]
36 p - [9]
37 c - [20]
38 c - [8]
39 c - [8]
40 p - [20]
41 p - [25]
42 p - [26]
43 c - [9]
44 c - [8]
45 p - [13]
46 p - [8]
47 c - [13]
48 c - [9]
49 c - [37]
50 p - [31]
51 p - [17]
52 c - [10]
53 c - [27]
54 c - [11]
55 p - [11]
56 p - [12]
57 c - [22]
58 c - [25]
59 c - [8]
60 p - [5]
61 p - [25]
62 c - [15]
63 c - [17]
64 c - [12]
65 p - [13]
66 p - [24]
67 c - [22]
68 c - [9]
69 c - [27]
70 p - [46]
71 p - [14]
72 c - [16]
73 c - [32]
74 c - [64]
75 p - [63]
76 p - [9]
77 c - [12]
78 c - [19]
79 c - [17]
80 p - [20]
81 p - [13]
82 c - [10]
83 c - [18]
84 c - [20]
85 p - [19]
86 p - [69]
87 c - [18]
88 c - [32]
89 c - [22]
90 p - [19]
91 p - [19]
92 c - [21]
93 c - [69]
94 c - [21]
95 p - [21]
96 p - [20]
97 c - [20]
98 c - [25]
99 c - [22]
100 p - [22]
101 p - [26]
102 c - [20]
103 c - [17]
104 c - [22]
105 p - [28]
106 p - [26]
107 c - [21]
108 c - [28]
109 c - [32]
110 p - [32]
111 p - [22]
112 c - [16]
113 c - [20]
114 c - [19]
115 p - [22]
116 p - [18]
117 c - [32]
118 c - [21]
119 c - [22]
120 p - [25]
121 p - [21]
122 c - [22]
123 c - [21]
124 c - [25]
125 p - [22]
126 p - [23]
127 p - [20]
128 c - [26]
129 c - [25]
130 p - [21]
131 p - [24]
132 c - [23]
133 c - [25]
134 c - [21]
135 p - [30]
136 p - [22]
137 c - [27]
138 c - [24]
139 c - [23]
140 p - [23]
141 p - [24]
142 c - [23]
143 c - [22]
144 c - [22]
145 p - [33]
146 p - [22]
147 c - [19]
148 c - [23]
149 c - [25]
150 p - [23]
151 p - [27]
152 c - [23]
153 c - [25]
154 c - [22]
155 p - [22]
156 p - [23]
157 c - [23]
158 c - [23]
159 c - [23]
160 p - [33]
161 p - [65]
162 c - [64]
163 c - [24]
164 c - [23]
165 p - [20]
166 p - [32]
167 c - [22]
168 p + [256]
169 c - [64]
170 p - [71]
171 p - [77]
172 c - [22]
173 c - [24]
174 c - [31]
175 p - [21]
176 p - [21]
177 c - [22]
178 c - [20]
179 c - [65]
180 l + [112]
181 p - [20]
182 c - [18]
183 c - [18]
184 c - [27]
185 p - [27]
186 p - [26]
187 p - [28]
188 c - [20]
189 c - [21]
190 p - [22]
191 p - [23]
192 c - [24]
193 c - [64]
194 c - [22]
195 p - [20]
196 p - [30]
197 c - [33]
198 c - [22]
199 c - [19]
200 p - [21]
201 p - [26]
202 c - [19]
203 c - [22]
204 c - [56]
205 p - [77]
206 p - [54]
207 c - [23]
208 c - [30]
209 c - [39]
210 p - [24]
211 c - [41]
212 c - [43]
213 c - [20]
214 c - [35]
215 p - [23]
216 p - [25]
217 p - [24]
218 p - [60]
219 c - [24]
220 p - [25]
221 p - [24]
222 c - [23]
223 p - [22]
224 c - [64]
225 c - [59]
226 c - [21]
227 c - [25]
228 c - [24]
229 c - [23]
230 p - [32]
231 p - [40]
232 c - [51]
233 c - [22]
234 c - [26]
235 p - [26]
236 p - [24]
237 c - [31]
238 c - [22]
239 c - [25]
240 p - [23]
241 p - [25]
242 p - [64]
243 p - [73]
244 p - [62]
245 c - [24]
246 p - [14]
247 c - [16]
248 p - [21]
249 c - [64]
250 c - [27]
251 c - [28]
252 c - [28]
253 c - [13]
254 c - [15]
255 p - [38]
256 c - [54]
257 p - [6]
258 c - [15]
259 p - [75]
260 c - [59]
261 p - [9]
262 c - [7]
263 c - [36]
264 p + [101]
265 l + [92]
266 p - [30]
267 c - [26]
268 c - [72]
269 c - [80]
270 p - [66]
271 l + [130]
272 p - [20]
273 c - [11]
274 c - [12]
275 p - [21]
276 p - [76]
277 c - [6]
278 c - [15]
279 c - [76]
280 p - [80]
281 p - [80]
282 c - [18]
283 c - [70]
284 c - [28]
285 p - [38]
286 p - [12]
287 p - [32]
288 c - [4]
289 c - [67]
290 p - [67]
291 p - [30]
292 l + [83]
293 c - [73]
294 c - [72]
295 p - [80]
296 p - [72]
297 c - [74]
298 c - [78]
299 c - [77]
300 p - [75]
301 p - [23]
302 c - [24]
303 c - [32]
304 c - [43]
305 p - [16]
306 p - [10]
307 p - [8]
308 c - [73]
309 c - [72]
310 p - [73]
311 p - [78]
312 c - [72]
313 c - [75]
314 c - [20]
315 p - [24]
316 p - [77]
317 p - [14]
318 l + [84]
319 c - [80]
320 p + [81]
321 p - [80]
322 c - [80]
323 c - [15]
324 c - [21]
325 p - [36]
326 p - [79]
327 c - [12]
328 c - [6]
329 c - [22]
330 p - [49]
331 p - [80]
332 c - [16]
333 l + [83]
334 c - [80]
335 p - [80]
336 p - [13]
337 p - [11]
338 c - [80]
339 c - [38]
340 p - [10]
341 p - [31]
342 p - [20]
343 c - [75]
344 p + [109]
345 c - [68]
346 c - [68]
347 c - [21]
348 c - [14]
349 c - [28]
350 c - [14]
351 c - [2]
352 c - [22]
353 c - [43]
354 c - [19]
