#TFM v1.0.8 by tritical
field = bottom
crc32 = f7df6e5a
0 c - [20]
1 c - [12]
2 p - [5]
3 p + [92]
4 c - [16]
5 c - [24]
6 c - [13]
7 p - [16]
8 p + [94]
9 p + [94]
10 l + [92]
11 c - [58]
12 p - [68]
13 p - [23]
14 l + [85]
15 l + [98]
16 l + [93]
17 p + [94]
18 p + [105]
19 c - [23]
20 l + [103]
21 l + [82]
22 p + [84]
23 c - [80]
24 c - [80]
25 c - [17]
26 p - [25]
27 p + [96]
28 p - [36]
29 c - [14]
30 c - [7]
31 u - [11]
32 p - [11]
33 u - [11]
34 p - [11]
35 c - [9]
36 c - [8]
37 p + [90]
38 u - [9]
39 c - [9]
40 l + [96]
41 c - [17]
42 p - [7]
43 p + [100]
44 l + [93]
45 l + [85]
46 c - [20]
47 p - [49]
48 u - [19]
49 c - [5]
50 l + [108]
51 c - [9]
52 p - [43]
53 p + [107]
54 c - [10]
55 l + [85]
56 l + [82]
57 p + [86]
58 p - [21]
59 c - [6]
60 l + [87]
61 c - [8]
62 p - [11]
63 p - [14]
64 l + [94]
65 c - [77]
66 l + [90]
67 p - [19]
68 p - [79]
69 c - [80]
70 c - [80]
71 l + [101]
72 p + [94]
73 p - [40]
74 c - [22]
75 c - [19]
76 c - [26]
77 p + [96]
78 p + [97]
79 l + [98]
80 l + [110]
81 c - [18]
82 p + [92]
83 p - [42]
84 c - [24]
85 l + [87]
86 c - [19]
87 p + [104]
88 p + [91]
89 l + [87]
90 c - [80]
91 c - [58]
92 p - [33]
93 p + [81]
94 p + [82]
95 c - [23]
96 c - [58]
97 p + [94]
98 p + [91]
99 c - [28]
100 l + [96]
101 l + [81]
102 p - [80]
103 p - [35]
104 l + [84]
105 l + [88]
106 l + [89]
107 p + [85]
108 p + [81]
109 l + [82]
110 l + [87]
111 c - [21]
112 p - [7]
113 u - [17]
114 c - [22]
115 l + [92]
116 l + [86]
117 u - [17]
118 p - [17]
119 c - [19]
120 l + [96]
121 c - [38]
122 p - [69]
123 p + [82]
124 p + [83]
125 l + [83]
126 l + [83]
127 p + [91]
128 p + [91]
129 c - [18]
130 l + [85]
131 c - [21]
132 p + [94]
133 p + [88]
134 c - [17]
135 l + [92]
136 c - [13]
137 p + [84]
138 p + [83]
139 c - [16]
140 c - [10]
141 l + [83]
142 p - [80]
143 p + [84]
144 c - [43]
145 l + [88]
146 c - [20]
147 p + [94]
148 p + [93]
149 l + [93]
150 l + [85]
151 c - [11]
152 p - [7]
153 p - [6]
154 c - [21]
155 l + [98]
156 c - [16]
157 p + [92]
158 p + [89]
159 l + [90]
160 c - [27]
161 c - [7]
162 p - [22]
163 p - [28]
164 c - [31]
165 l + [87]
166 l + [93]
167 p + [90]
168 u - [15]
169 c - [14]
170 c - [80]
171 l + [83]
172 u - [22]
173 p - [22]
174 c - [19]
175 c - [34]
176 c - [15]
177 p - [46]
178 p - [25]
179 c - [38]
180 c - [77]
181 l + [93]
182 p - [26]
183 p - [21]
184 c - [60]
185 l + [89]
186 c - [22]
187 p + [104]
188 p - [30]
189 c - [21]
190 c - [38]
191 l + [88]
192 p + [82]
193 p + [92]
194 c - [21]
195 c - [9]
196 c - [24]
197 p + [93]
198 p + [86]
199 c - [16]
200 c - [28]
201 c - [30]
202 p - [17]
203 p - [26]
204 c - [9]
205 l + [82]
206 c - [20]
207 p - [30]
208 p - [28]
209 l + [86]
210 c - [9]
211 u - [15]
212 p - [15]
213 p - [17]
214 c - [30]
215 c - [22]
216 c - [14]
217 p + [83]
218 p - [24]
219 c - [13]
220 l + [88]
221 l + [85]
222 p + [84]
223 p - [19]
224 c - [17]
225 c - [11]
226 c - [27]
227 p - [22]
228 p - [58]
229 c - [19]
230 l + [83]
231 l + [82]
232 p + [84]
233 p - [23]
234 l + [91]
235 l + [92]
236 c - [80]
237 p + [90]
238 p + [82]
239 l + [92]
240 c - [36]
241 l + [83]
242 u - [26]
243 p - [26]
244 l + [98]
245 c - [8]
246 l + [86]
247 p + [87]
248 p + [81]
249 l + [85]
250 l + [84]
251 c - [8]
252 p + [82]
253 p - [12]
254 l + [83]
255 l + [85]
256 l + [86]
257 p + [84]
258 p - [74]
259 c - [14]
260 l + [83]
261 c - [7]
262 p - [11]
263 p - [15]
264 l + [95]
265 c - [17]
266 c - [11]
267 p - [19]
268 p - [14]
269 l + [85]
270 c - [7]
271 c - [20]
272 p - [32]
273 p + [91]
274 l + [92]
275 l + [88]
276 c - [49]
277 p + [88]
278 p + [86]
279 l + [91]
280 l + [92]
281 l + [90]
282 u - [8]
283 p - [8]
284 l + [91]
285 l + [88]
286 l + [95]
287 p + [86]
288 p + [84]
289 l + [96]
290 l + [95]
291 c - [6]
292 p + [91]
293 p + [97]
294 c - [12]
295 c - [16]
296 l + [83]
297 p + [88]
298 p + [93]
299 l + [94]
300 c - [80]
301 c - [8]
302 p + [96]
303 p - [46]
304 l + [106]
305 l + [96]
306 c - [14]
307 p + [86]
308 p - [48]
309 c - [18]
310 c - [16]
311 l + [82]
312 p + [82]
313 p + [89]
314 c - [52]
315 l + [85]
316 l + [95]
317 u - [23]
318 p - [23]
319 c - [43]
320 c - [19]
321 c - [41]
322 p - [75]
323 p - [19]
324 c - [11]
325 c - [34]
326 c - [66]
327 p - [28]
328 p - [48]
329 l + [90]
330 l + [83]
331 l + [84]
332 p + [85]
333 p - [20]
334 c - [25]
335 l + [87]
336 c - [80]
337 p - [25]
338 p - [16]
339 c - [15]
340 c - [9]
341 l + [87]
342 p - [45]
343 p - [18]
344 c - [14]
345 l + [83]
346 l + [89]
347 p + [89]
348 p + [82]
349 c - [36]
350 l + [91]
351 l + [81]
352 p - [17]
353 p + [89]
354 c - [80]
355 c - [80]
356 c - [53]
357 p + [86]
358 p + [86]
359 c - [18]
360 l + [86]
361 c - [24]
362 p - [23]
363 u - [10]
364 c - [16]
365 l + [85]
366 u - [18]
367 p - [18]
368 p - [16]
369 c - [21]
370 c - [16]
371 c - [33]
372 p - [37]
373 p - [21]
374 c - [33]
375 c - [23]
376 c - [36]
377 p - [37]
378 p + [88]
379 c - [21]
380 c - [21]
381 c - [14]
382 p - [29]
383 p - [33]
384 c - [27]
385 l + [100]
386 c - [56]
387 p + [105]
388 p + [117]
389 c - [57]
390 l + [97]
391 l + [104]
392 p - [38]
393 p - [27]
394 c - [13]
395 c - [11]
396 l + [87]
397 p + [83]
398 p - [80]
399 l + [88]
400 c - [12]
401 c - [25]
402 p - [31]
403 p + [105]
404 c - [19]
405 c - [28]
406 c - [21]
407 p - [26]
408 p + [107]
409 c - [16]
410 l + [97]
411 l + [109]
412 p + [108]
413 p + [96]
414 l + [92]
415 l + [94]
416 c - [28]
417 p + [93]
