#TFM v1.0.8 by tritical
field = bottom
crc32 = bd2995d7
0 c - [14]
1 l + [102]
2 p + [99]
3 p + [87]
4 c - [14]
5 c - [19]
6 l + [89]
7 p - [21]
8 p - [21]
9 l + [96]
10 l + [88]
11 c - [19]
12 p - [13]
13 p - [19]
14 p - [14]
15 c - [14]
16 l + [84]
17 p - [17]
18 p + [85]
19 l + [93]
20 c - [46]
21 c - [10]
22 p - [21]
23 p - [80]
24 c - [80]
25 c - [70]
26 l + [91]
27 p - [80]
28 p + [90]
29 c - [32]
30 c - [16]
31 l + [82]
32 p - [20]
33 p + [91]
34 l + [83]
35 c - [80]
36 c - [10]
37 p - [25]
38 p - [18]
39 l + [91]
40 l + [90]
41 l + [88]
42 p + [86]
43 p - [62]
44 c - [80]
45 l + [86]
46 c - [80]
47 p + [85]
48 p - [8]
49 c - [27]
50 l + [89]
51 l + [85]
52 p + [87]
53 p + [82]
54 c - [46]
55 c - [45]
56 c - [12]
57 p + [86]
58 p + [85]
59 c - [78]
60 l + [82]
61 c - [34]
62 p - [80]
63 p + [86]
64 l + [86]
65 c - [12]
66 c - [18]
67 p - [11]
68 p - [24]
69 c - [67]
70 l + [92]
71 l + [87]
72 p + [94]
73 p + [86]
74 l + [89]
75 l + [92]
76 l + [89]
77 p + [87]
78 p + [100]
79 l + [96]
80 l + [100]
81 l + [95]
82 p + [96]
83 p - [19]
84 l + [91]
85 c - [21]
86 l + [95]
87 p + [90]
88 p - [32]
89 c - [21]
90 c - [29]
91 c - [78]
92 p + [93]
93 p + [96]
94 l + [96]
95 l + [110]
96 l + [89]
97 p - [26]
98 p - [18]
99 c - [32]
100 l + [103]
101 l + [106]
102 p - [24]
103 p - [25]
104 c - [19]
105 l + [114]
106 l + [94]
107 p - [28]
108 p - [19]
109 p + [110]
110 c - [33]
111 l + [94]
112 p - [21]
113 p + [105]
114 c - [32]
115 l + [117]
116 c - [35]
117 p - [32]
118 p + [84]
119 c - [35]
120 c - [29]
121 c - [24]
122 p - [20]
123 p + [108]
124 c - [23]
125 l + [94]
126 c - [19]
127 p - [23]
128 p - [26]
129 c - [25]
130 c - [23]
131 c - [47]
132 p - [47]
133 p + [88]
134 p + [88]
135 l + [88]
136 l + [87]
137 p + [96]
