#TFM v1.0.8 by tritical
field = bottom
crc32 = 402e35df
0 c - [53]
1 c - [10]
2 p - [19]
3 p - [20]
4 c - [66]
5 c - [25]
6 c - [56]
7 p - [31]
8 c - [39]
9 p - [32]
10 c - [42]
11 c - [41]
12 c - [45]
13 p - [34]
14 c - [30]
15 c - [53]
16 c - [18]
17 c - [19]
18 c - [50]
19 p - [47]
20 c - [39]
21 c - [34]
22 c - [31]
23 c - [18]
24 c - [26]
25 c - [45]
26 c - [28]
27 c - [29]
28 p - [43]
29 c - [20]
30 c - [17]
31 c - [13]
32 c - [20]
33 p - [30]
34 p - [30]
35 c - [45]
36 c - [20]
37 c - [29]
38 p - [19]
39 p - [21]
40 p - [23]
41 c - [21]
42 c - [8]
43 p - [14]
44 p - [25]
45 c - [34]
46 c - [19]
47 c - [18]
48 p - [15]
49 p - [25]
50 c - [28]
51 c - [16]
52 c - [23]
53 p - [22]
54 p - [10]
55 c - [24]
56 c - [23]
57 c - [21]
58 p - [15]
59 p - [13]
60 c - [8]
61 c - [32]
62 c - [15]
63 p - [14]
64 p - [40]
65 c - [28]
66 c - [31]
67 c - [26]
68 p - [23]
69 p - [16]
70 c - [2]
71 c - [21]
72 c - [15]
73 p - [27]
74 p - [16]
75 c - [31]
76 c - [24]
77 c - [34]
78 p - [37]
79 p - [14]
80 c - [11]
81 c - [21]
82 c - [10]
83 p - [23]
84 p - [19]
85 c - [14]
86 c - [6]
87 c - [26]
88 p - [16]
89 p - [22]
90 c - [9]
91 c - [20]
92 c - [15]
93 p - [19]
94 p - [51]
95 c - [21]
96 c - [14]
97 c - [12]
98 p - [11]
99 p - [24]
100 c - [14]
101 c - [10]
102 c - [19]
103 p - [18]
104 p - [17]
105 c - [23]
106 c - [16]
107 c - [14]
108 p - [20]
109 p - [15]
110 c - [23]
111 c - [17]
112 c - [21]
113 p - [15]
114 p - [35]
115 c - [17]
116 c - [66]
117 c - [16]
118 p - [16]
119 p - [18]
120 c - [30]
121 c - [40]
122 c - [14]
123 p - [23]
124 p - [40]
125 c - [13]
126 c - [31]
127 c - [5]
128 p - [14]
129 p - [19]
130 c - [7]
131 c - [25]
132 c - [6]
133 p - [30]
134 p - [12]
135 c - [27]
136 c - [18]
137 c - [29]
138 p - [21]
139 p - [14]
140 c - [9]
141 c - [30]
142 c - [13]
143 p - [13]
144 p - [24]
145 c - [11]
146 c - [29]
147 c - [7]
148 p - [21]
149 p - [21]
150 c - [19]
151 c - [39]
152 c - [10]
153 p - [9]
154 p - [34]
155 c - [10]
156 c - [34]
157 c - [29]
158 p - [10]
159 p - [43]
160 c - [34]
161 c - [10]
162 c - [28]
163 p - [6]
164 p - [5]
165 c - [16]
166 c - [13]
167 c - [13]
168 p - [14]
169 p - [32]
170 c - [15]
171 c - [31]
172 c - [38]
173 p - [44]
174 p - [21]
175 c - [14]
176 c - [13]
177 c - [19]
