#TFM v1.0.8 by tritical
field = bottom
crc32 = 9569f592
0 c - [29]
1 c - [22]
2 p - [10]
3 p - [16]
4 p - [36]
5 c - [19]
6 c - [18]
7 p - [11]
8 p - [18]
9 p - [12]
10 c - [26]
11 c - [25]
12 p - [43]
13 p - [53]
14 p - [22]
15 c - [46]
16 c - [35]
17 p - [21]
18 p - [9]
19 c - [28]
20 l + [88]
21 l + [89]
22 p - [55]
23 p - [31]
24 c - [32]
25 c - [23]
26 c - [29]
27 p - [18]
28 p - [6]
29 c - [22]
30 c - [14]
31 c - [32]
32 p - [18]
33 p - [14]
34 c - [15]
35 c - [24]
36 c - [24]
37 p - [35]
38 p - [30]
39 c - [17]
40 c - [50]
41 c - [15]
42 p - [35]
43 p - [29]
44 c - [29]
45 l + [88]
46 c - [6]
47 p - [12]
48 p - [18]
49 c - [32]
50 c - [10]
51 c - [15]
52 p - [35]
53 p - [30]
54 c - [12]
55 c - [11]
56 c - [15]
57 p - [21]
58 p - [16]
59 c - [37]
60 c - [17]
61 c - [15]
62 p - [14]
63 p - [16]
64 c - [18]
65 c - [20]
66 c - [71]
67 p - [38]
68 p - [18]
69 p - [13]
70 c - [28]
71 c - [8]
72 p - [30]
73 p - [8]
74 c - [69]
75 c - [48]
76 c - [44]
77 p - [35]
78 p - [17]
79 c - [21]
80 c - [16]
81 c - [30]
82 p - [24]
83 p + [90]
84 c - [27]
85 c - [20]
86 c - [20]
87 p - [21]
88 p - [32]
89 c - [27]
90 c - [23]
91 c - [35]
92 p - [54]
93 p - [23]
94 c - [30]
95 c - [22]
96 c - [21]
97 p - [21]
98 p - [35]
99 c - [25]
100 c - [31]
101 c - [25]
102 p - [28]
103 p - [29]
104 c - [23]
105 c - [32]
106 c - [31]
107 p - [53]
108 p - [33]
109 c - [23]
110 c - [18]
111 c - [27]
112 p - [25]
113 p - [56]
114 c - [21]
115 c - [24]
116 c - [22]
117 p - [25]
118 p - [49]
119 p - [23]
120 c - [30]
121 c - [34]
122 p - [23]
123 p - [30]
124 c - [21]
125 c - [40]
126 c - [20]
127 p - [28]
128 p - [23]
129 c - [28]
130 c - [42]
131 c - [32]
132 p - [23]
133 p - [24]
134 p - [23]
135 c - [46]
136 c - [20]
137 p - [21]
138 p - [28]
139 c - [34]
140 c - [23]
141 c - [22]
142 p - [32]
143 p - [18]
144 c - [26]
145 c - [21]
146 c - [22]
147 p - [28]
148 p - [22]
149 c - [25]
150 c - [22]
151 c - [26]
152 p - [22]
153 p - [33]
154 c - [40]
155 c - [29]
156 c - [23]
157 p - [24]
158 p - [30]
159 c - [23]
160 c - [35]
161 c - [26]
162 p - [37]
163 p - [21]
164 c - [20]
165 c - [22]
166 c - [19]
167 p - [20]
168 p - [28]
169 c - [23]
170 c - [20]
171 c - [23]
172 p - [26]
173 p - [26]
174 c - [25]
175 c - [33]
176 c - [19]
177 p - [26]
178 p - [29]
179 c - [47]
180 c - [21]
181 c - [16]
182 p - [18]
183 p - [21]
184 c - [19]
185 c - [37]
186 c - [21]
187 p - [21]
188 p - [17]
189 c - [36]
190 c - [57]
191 c - [22]
192 p - [34]
193 p - [35]
194 p - [35]
195 c - [71]
196 c - [45]
197 p - [30]
198 p - [29]
199 c - [40]
200 c - [26]
201 c - [24]
202 p - [61]
203 p - [19]
204 c - [23]
205 c - [53]
206 c - [72]
207 p - [49]
208 p - [22]
209 c - [19]
210 c - [22]
211 c - [24]
212 p - [23]
213 c - [30]
214 c - [58]
215 c - [30]
216 p - [52]
217 c - [26]
218 p - [23]
219 c - [23]
220 c - [80]
221 p - [77]
222 c - [22]
223 p - [24]
224 c - [43]
225 p - [36]
