#TFM v1.0.8 by tritical
field = bottom
crc32 = 6e915d0b
0 c - [41]
1 c - [9]
2 p - [21]
3 p - [25]
4 c - [11]
5 c - [13]
6 c - [18]
7 p - [25]
8 p - [8]
9 c - [7]
10 c - [34]
11 c - [25]
12 p - [17]
13 p - [18]
14 c - [19]
15 c - [5]
16 c - [12]
17 p - [14]
18 p - [10]
19 c - [38]
20 l + [95]
21 c - [11]
22 p - [38]
23 p - [37]
24 c - [23]
25 l + [87]
26 l + [86]
27 p - [24]
28 p - [20]
29 c - [26]
30 l + [83]
31 c - [42]
32 p - [25]
33 p - [68]
34 c - [38]
35 c - [6]
36 c - [9]
37 p - [38]
38 p - [67]
39 l + [94]
40 c - [15]
41 c - [16]
42 p - [31]
43 p - [23]
44 c - [22]
45 c - [18]
46 c - [69]
47 p - [63]
48 p + [86]
49 l + [91]
50 c - [34]
51 c - [10]
52 p - [9]
53 p - [25]
54 l + [93]
55 c - [25]
56 c - [16]
57 p - [9]
58 p - [80]
59 l + [88]
60 c - [21]
61 c - [31]
62 p - [15]
63 p - [27]
64 l + [89]
65 c - [27]
66 c - [5]
67 p - [11]
68 p - [32]
69 c - [8]
70 c - [30]
71 c - [11]
72 p - [9]
73 p - [16]
74 l + [88]
75 c - [46]
76 l + [95]
77 p + [94]
78 p - [25]
79 c - [27]
80 c - [23]
81 c - [13]
82 p - [11]
83 p - [21]
84 c - [20]
85 c - [27]
86 l + [85]
87 p - [80]
88 p - [32]
89 c - [18]
90 c - [19]
91 l + [93]
92 p + [95]
93 p - [22]
94 c - [20]
95 c - [62]
96 l + [93]
97 p - [21]
98 p - [34]
99 c - [24]
100 c - [28]
101 c - [22]
102 p - [24]
103 p - [26]
104 c - [24]
105 l + [86]
106 c - [20]
107 p - [23]
108 p - [21]
109 c - [20]
110 c - [20]
111 c - [17]
112 p - [20]
113 p - [26]
114 l + [90]
115 c - [26]
116 c - [23]
117 p - [20]
118 p - [21]
119 c - [22]
120 c - [22]
121 c - [19]
122 p - [24]
123 p - [25]
124 l + [91]
125 c - [26]
126 c - [25]
127 p - [19]
128 p - [20]
129 c - [24]
130 c - [26]
131 c - [24]
132 p - [23]
133 p - [37]
134 c - [23]
135 c - [21]
136 c - [22]
137 p - [25]
138 p - [23]
139 c - [23]
140 c - [26]
141 c - [21]
142 p - [20]
143 p - [23]
144 p - [27]
145 l + [89]
146 l + [95]
147 p + [93]
148 p - [38]
149 p - [25]
150 c - [24]
151 l + [82]
152 l + [87]
153 p - [39]
154 l + [94]
155 c - [26]
156 c - [23]
157 p - [26]
158 p - [41]
159 c - [23]
160 c - [24]
161 c - [27]
162 p - [27]
163 p - [28]
164 p - [22]
165 c - [30]
166 c - [21]
167 p - [22]
168 p - [20]
169 c - [22]
170 l + [89]
171 c - [30]
172 p - [30]
173 p - [66]
174 c - [24]
175 c - [47]
176 c - [42]
177 l + [100]
178 p + [90]
179 p + [96]
180 c - [18]
181 c - [48]
182 l + [143]
183 p + [96]
184 c - [40]
185 c - [21]
186 c - [19]
187 p - [23]
188 p + [92]
189 l + [86]
190 c - [25]
191 p + [217]
192 p + [95]
193 p - [19]
194 c - [36]
195 c - [21]
196 c - [31]
197 p - [27]
198 p - [29]
199 c - [20]
200 p + [227]
201 c - [23]
202 p - [26]
203 p - [21]
204 c - [44]
205 p + [129]
206 p + [129]
207 p - [25]
208 p - [20]
209 p + [94]
210 l + [87]
211 p - [45]
212 p - [21]
213 c - [25]
214 c - [21]
215 l + [88]
216 p - [44]
217 c - [27]
218 p - [22]
