#TFM v1.0.8 by tritical
field = bottom
crc32 = b314570c
0 c - [45]
1 p - [3]
2 p - [4]
3 c - [5]
4 c - [4]
5 p - [5]
6 p - [11]
7 c - [8]
8 c - [8]
9 c - [10]
10 p - [11]
11 p - [16]
12 c - [5]
13 c - [8]
14 c - [3]
15 p - [2]
16 p - [4]
17 c - [0]
18 c - [4]
19 c - [5]
20 p - [6]
21 p - [0]
22 c - [2]
23 c - [4]
24 c - [4]
25 p - [2]
26 p - [2]
27 p - [3]
28 c - [4]
29 c - [0]
30 p - [4]
31 p - [6]
32 c - [5]
33 c - [5]
34 c - [2]
35 p - [4]
36 p - [2]
37 c - [4]
38 c - [3]
39 c - [4]
40 p - [5]
41 p - [2]
42 c - [3]
43 c - [4]
44 c - [7]
45 p - [4]
46 p - [3]
47 c - [2]
48 c - [5]
49 c - [11]
50 p - [1]
51 p - [7]
52 c - [4]
53 c - [1]
54 c - [3]
55 p - [1]
56 p - [1]
57 c - [2]
58 c - [2]
59 c - [4]
60 p - [2]
61 p - [8]
62 c - [3]
63 c - [4]
64 c - [5]
65 p - [2]
66 p - [11]
67 p - [8]
68 c - [7]
69 c - [10]
70 p - [10]
71 p - [13]
72 c - [4]
73 c - [11]
74 c - [1]
75 p - [2]
76 p - [7]
77 c - [6]
78 c - [4]
79 c - [9]
80 p - [11]
81 p - [6]
82 c - [8]
83 c - [8]
84 c - [10]
85 p - [9]
86 p - [6]
87 c - [18]
88 c - [16]
89 c - [2]
90 p - [12]
91 p - [6]
92 c - [5]
93 c - [5]
94 c - [4]
95 p - [5]
96 p - [8]
97 c - [6]
98 c - [11]
99 c - [5]
100 p - [2]
101 p - [11]
102 c - [2]
103 c - [3]
104 c - [4]
105 p - [4]
106 p - [7]
107 c - [7]
108 c - [7]
109 c - [9]
110 p - [7]
111 p - [10]
112 c - [15]
113 c - [7]
114 c - [9]
115 p - [9]
116 p - [2]
117 c - [6]
118 c - [10]
119 c - [18]
120 p - [8]
121 p - [10]
122 c - [9]
123 c - [12]
124 c - [15]
125 p - [11]
126 p - [7]
127 c - [15]
128 c - [7]
129 c - [11]
130 p - [11]
131 p - [10]
132 c - [4]
133 c - [11]
134 c - [7]
135 p - [7]
136 p - [2]
137 c - [8]
138 c - [13]
139 c - [8]
140 p - [12]
141 p - [18]
142 c - [6]
143 c - [26]
144 c - [16]
145 p - [6]
146 p - [12]
147 c - [12]
148 c - [17]
149 c - [9]
150 p - [14]
151 p - [17]
152 c - [8]
153 c - [11]
154 c - [7]
155 p - [2]
156 p - [3]
157 p - [7]
158 c - [10]
159 c - [9]
160 p - [10]
161 p - [13]
162 c - [12]
163 c - [8]
164 c - [8]
165 p - [11]
166 p - [15]
167 c - [5]
168 c - [34]
169 c - [11]
170 p - [22]
171 p - [15]
172 c - [9]
173 c - [6]
174 c - [3]
175 p - [2]
176 p - [2]
177 c - [6]
178 c - [3]
179 c - [6]
180 p - [4]
181 p - [4]
182 c - [2]
183 c - [2]
184 c - [2]
185 p - [1]
186 p - [4]
187 c - [3]
188 c - [2]
189 c - [14]
190 p - [5]
191 p - [5]
192 c - [4]
193 c - [4]
194 c - [3]
195 p - [3]
196 p - [2]
197 c - [3]
198 c - [1]
199 c - [2]
200 p - [2]
201 p - [19]
202 c - [4]
203 c - [2]
204 c - [6]
205 p - [6]
206 p - [7]
207 c - [1]
208 c - [3]
209 c - [5]
210 p - [4]
211 p - [3]
212 c - [2]
213 c - [9]
214 c - [3]
215 p - [2]
216 p - [8]
217 c - [5]
218 c - [1]
219 c - [1]
220 p - [2]
221 p - [2]
222 c - [1]
223 c - [4]
224 c - [1]
225 p - [3]
226 p - [0]
227 c - [5]
228 c - [0]
229 c - [3]
230 p - [1]
231 p - [3]
232 c - [2]
233 c - [2]
234 c - [0]
235 p - [1]
236 p - [5]
237 c - [4]
238 c - [1]
239 c - [0]
240 p - [1]
241 p - [3]
242 c - [5]
243 c - [0]
