#TFM v1.0.8 by tritical
field = bottom
crc32 = f7fee5fb
0 c - [0]
1 c - [3]
2 c - [0]
3 p - [0]
4 p - [1]
5 c - [0]
6 c - [0]
7 c - [0]
8 p - [0]
9 p - [0]
10 c - [0]
11 c - [0]
12 c - [1]
13 p - [1]
14 p - [1]
15 c - [0]
16 c - [0]
17 c - [0]
18 p - [2]
19 p - [1]
20 c - [0]
21 c - [0]
22 c - [0]
23 p - [3]
24 p - [4]
25 c - [1]
26 c - [4]
27 c - [4]
28 p - [4]
29 p - [17]
30 c - [3]
31 c - [14]
32 c - [8]
33 p - [10]
34 p - [8]
35 c - [7]
36 c - [18]
37 c - [16]
38 p - [6]
39 p - [11]
40 c - [10]
41 c - [22]
42 c - [9]
43 p - [6]
44 p - [12]
45 c - [10]
46 c - [10]
47 c - [16]
48 p - [12]
49 p - [9]
50 c - [17]
51 c - [15]
52 c - [20]
53 p - [17]
54 p - [19]
55 c - [18]
56 c - [13]
57 c - [19]
58 p - [17]
59 p - [18]
60 c - [9]
61 c - [13]
62 c - [12]
63 p - [13]
64 p - [8]
65 c - [14]
66 c - [12]
67 c - [8]
68 p - [12]
69 p - [9]
70 c - [12]
71 c - [13]
72 c - [9]
73 p - [11]
74 p - [9]
75 c - [9]
76 c - [7]
77 c - [11]
78 p - [8]
79 p - [31]
80 c - [10]
81 c - [13]
82 c - [21]
83 p - [29]
84 p - [60]
85 c - [9]
86 c - [14]
87 c - [28]
88 p - [15]
89 p - [26]
90 c - [8]
91 c - [13]
92 c - [12]
93 p - [7]
94 p - [8]
95 c - [7]
96 c - [5]
97 c - [7]
98 p - [12]
99 p - [15]
100 c - [13]
101 c - [7]
102 c - [22]
103 p - [22]
104 p - [13]
105 c - [27]
106 c - [8]
107 c - [19]
108 p - [16]
109 p - [16]
110 c - [10]
111 c - [9]
112 c - [11]
113 p - [13]
114 p - [8]
115 c - [6]
116 c - [13]
117 c - [11]
118 p - [18]
119 c - [8]
120 c - [10]
121 c - [16]
122 p - [16]
123 p - [14]
124 p - [11]
125 c - [18]
126 c - [5]
127 p - [8]
128 p - [11]
129 c - [7]
130 c - [10]
131 c - [13]
132 p - [16]
133 p - [7]
134 c - [6]
135 c - [21]
136 c - [7]
137 p - [3]
138 p - [18]
139 c - [18]
140 c - [9]
141 c - [24]
142 p - [12]
143 p - [17]
144 c - [30]
145 c - [14]
146 c - [28]
147 p - [13]
148 p - [24]
149 c - [15]
150 c - [16]
151 c - [15]
152 p - [11]
153 p - [12]
154 c - [11]
155 c - [15]
156 c - [7]
157 p - [11]
158 p - [13]
159 p - [18]
160 p - [13]
161 c - [11]
162 c - [6]
163 c - [12]
164 p - [22]
165 p - [16]
166 c - [7]
167 c - [11]
168 c - [18]
169 p - [9]
170 p - [9]
171 c - [19]
172 c - [8]
173 c - [6]
174 p - [7]
175 p - [14]
176 c - [9]
177 c - [10]
178 c - [6]
179 p - [8]
180 p - [6]
181 c - [7]
182 c - [8]
183 c - [11]
184 p - [11]
185 p - [12]
186 c - [14]
187 c - [12]
188 c - [16]
189 p - [11]
190 p - [8]
191 p - [24]
192 c - [15]
193 c - [23]
194 c - [20]
195 p - [17]
196 p - [38]
197 c - [7]
198 c - [14]
199 c - [10]
200 p - [29]
201 p - [18]
202 c - [16]
203 c - [26]
204 c - [19]
205 p - [11]
206 p - [11]
207 c - [6]
208 c - [12]
209 c - [7]
210 p - [11]
211 p - [18]
212 c - [12]
213 c - [43]
214 c - [21]
215 p - [7]
216 p - [9]
217 c - [16]
218 c - [31]
219 c - [20]
220 p - [31]
221 p - [14]
222 c - [5]
223 c - [27]
224 u - [19]
225 c - [11]
226 c - [16]
227 c - [11]
228 p - [20]
229 p - [22]
230 c - [24]
231 c - [13]
232 c - [6]
233 p - [10]
234 p - [16]
235 c - [18]
236 c - [30]
237 c - [21]
238 p - [26]
239 p - [17]
240 c - [17]
241 c - [27]
242 c - [19]
243 p - [13]
244 p - [23]
245 c - [24]
246 c - [14]
247 c - [16]
248 p - [17]
249 p - [44]
250 c - [17]
251 c - [16]
252 c - [10]
253 p - [15]
254 p - [11]
255 c - [22]
256 c - [17]
257 c - [13]
258 p - [14]
259 p - [21]
