#TFM v1.0.8 by tritical
field = bottom
crc32 = d26ba93
0 c - [26]
1 c - [17]
2 c - [33]
3 p - [21]
4 p - [22]
5 c - [7]
6 c - [67]
7 c - [31]
8 p - [20]
9 p - [21]
10 c - [8]
11 c - [32]
12 c - [25]
13 p - [20]
14 p - [16]
15 c - [66]
16 c - [18]
17 c - [21]
18 p - [73]
19 p - [35]
20 c - [63]
21 c - [30]
22 c - [35]
23 p - [43]
24 p - [11]
25 c - [14]
26 c - [41]
27 c - [32]
28 p - [13]
29 p - [29]
30 c - [14]
31 c - [38]
32 c - [12]
33 p - [20]
34 p - [4]
35 c - [23]
36 c - [23]
37 c - [13]
38 p - [23]
39 p - [24]
40 c - [31]
41 c - [9]
42 c - [5]
43 p - [18]
44 p - [12]
45 c - [15]
46 c - [44]
47 c - [13]
48 p - [13]
49 p - [24]
50 c - [17]
51 c - [22]
52 c - [14]
53 p - [33]
54 p - [26]
55 c - [45]
56 c - [30]
57 c - [64]
58 p - [64]
59 p - [58]
60 c - [32]
61 c - [22]
62 c - [19]
63 p - [64]
64 p - [16]
65 c - [39]
66 c - [8]
67 c - [25]
68 p - [27]
69 p - [14]
70 c - [24]
71 c - [9]
72 c - [17]
73 p - [15]
74 p - [36]
75 c - [22]
76 c - [31]
77 c - [50]
78 p - [67]
79 p - [13]
80 c - [11]
81 c - [27]
82 c - [52]
83 p - [20]
84 p - [48]
85 c - [26]
86 c - [32]
87 c - [26]
88 p - [43]
89 p - [35]
90 c - [30]
91 c - [46]
92 c - [21]
93 p + [82]
94 p - [37]
95 c - [64]
96 c - [22]
97 c - [23]
98 p - [59]
99 p - [27]
100 c - [37]
101 c - [29]
102 c - [21]
103 p - [19]
104 p - [47]
105 p - [25]
106 c - [20]
107 c - [24]
108 p - [29]
109 p - [28]
110 c - [29]
111 c - [61]
112 c - [28]
113 p - [20]
114 p - [41]
115 c - [23]
116 c - [20]
117 c - [21]
118 p - [42]
119 p - [25]
120 c - [34]
121 c - [24]
122 c - [30]
123 p - [37]
124 p - [31]
125 c - [21]
126 c - [20]
127 c - [24]
128 p - [25]
129 p - [38]
130 c - [22]
131 c - [32]
132 c - [29]
133 p - [28]
134 p - [21]
135 c - [19]
136 c - [25]
137 c - [28]
138 p - [31]
139 p - [36]
140 c - [20]
141 c - [44]
142 c - [19]
143 p - [22]
144 p - [25]
145 c - [21]
146 c - [23]
147 c - [29]
148 p - [21]
149 c - [38]
150 c - [24]
151 p - [79]
152 c - [22]
153 p - [21]
154 p - [25]
155 c - [47]
156 c - [24]
157 c - [58]
158 p - [29]
159 p - [25]
160 c - [23]
161 c - [24]
162 c - [26]
163 p - [24]
164 p - [41]
165 c - [55]
166 c - [25]
167 c - [29]
168 p - [37]
169 p - [23]
170 c - [41]
171 c - [24]
172 c - [24]
173 p - [48]
174 p - [40]
175 c - [68]
176 c - [26]
177 p - [53]
178 p - [25]
179 p - [22]
180 c - [21]
181 c - [21]
182 c - [26]
183 p - [23]
184 p - [29]
185 c - [48]
186 c - [27]
187 c - [25]
188 p - [24]
189 p - [21]
190 c - [24]
191 c - [36]
192 c - [30]
193 p - [27]
194 p - [47]
195 p - [23]
196 c - [68]
197 c - [22]
198 p - [40]
199 p - [35]
200 c - [22]
201 c - [22]
202 c - [20]
203 p - [21]
204 p - [52]
205 c - [49]
206 c - [37]
207 c - [27]
208 p - [33]
209 c - [35]
210 c - [42]
211 c - [27]
212 c - [35]
213 c - [48]
214 p - [32]
215 c - [46]
216 c - [24]
217 c - [24]
218 p - [24]
219 p - [60]
220 p - [35]
221 c - [24]
222 p - [41]
223 c - [24]
224 c - [24]
225 p - [30]
226 c - [35]
227 c - [32]
228 c - [38]
229 c - [23]
230 c - [23]
