#TFM v1.0.8 by tritical
field = bottom
crc32 = 2648ddb8
0 c - [0]
1 p - [12]
2 p - [5]
3 p - [3]
4 p - [6]
5 c - [1]
6 p - [3]
7 c - [0]
8 p - [0]
9 c - [3]
10 c - [1]
11 c - [0]
12 p - [7]
13 p - [3]
14 p - [0]
15 p - [0]
16 c - [0]
17 p - [4]
18 p - [11]
19 p - [1]
20 p - [9]
21 p - [14]
22 p - [0]
23 p - [10]
24 p - [5]
25 p - [5]
26 c - [8]
27 p - [0]
28 c - [10]
29 c - [6]
30 c - [8]
31 c - [14]
32 c - [20]
33 c - [15]
34 p - [23]
35 c - [3]
36 c - [7]
37 c - [10]
38 c - [16]
39 c - [6]
40 p - [13]
41 l + [93]
42 p + [96]
43 p + [89]
44 p - [12]
45 p - [1]
46 c - [4]
47 c - [4]
48 p - [11]
49 p - [9]
50 p - [13]
51 p - [18]
52 p - [12]
53 c - [8]
54 p - [6]
55 p - [4]
56 p - [23]
57 c - [7]
58 c - [14]
59 c - [4]
60 c - [23]
61 p - [32]
62 c - [7]
63 p - [15]
64 c - [12]
65 l + [96]
66 l + [96]
67 c - [19]
68 c - [12]
69 c - [8]
70 p + [99]
71 c - [17]
72 p - [8]
73 c - [11]
74 c - [10]
75 c - [13]
76 l + [101]
77 c - [14]
78 l + [96]
79 l + [99]
80 c - [18]
81 c - [9]
82 p - [18]
83 c - [10]
84 c - [23]
85 c - [20]
86 c - [11]
87 c - [18]
88 c - [11]
89 c - [24]
90 c - [20]
91 c - [16]
92 c - [13]
93 c - [15]
94 p - [29]
95 c - [11]
96 c - [4]
97 p - [9]
98 c - [11]
99 c - [15]
100 c - [13]
101 c - [19]
102 c - [16]
103 c - [11]
104 c - [23]
105 c - [27]
106 p - [18]
107 c - [28]
108 c - [8]
109 c - [18]
110 c - [18]
111 c - [23]
112 c - [11]
113 c - [15]
114 l + [117]
115 l + [109]
116 c - [34]
117 c - [10]
118 c - [17]
119 c - [15]
120 c - [18]
121 l + [96]
122 c - [14]
123 c - [6]
124 c - [29]
125 c - [19]
126 c - [8]
127 c - [10]
128 p - [8]
129 p + [101]
130 c - [5]
131 l + [103]
132 c - [7]
133 p - [19]
134 p - [12]
135 c - [5]
136 c - [12]
137 c - [10]
138 p - [16]
139 p - [13]
140 c - [8]
141 c - [8]
142 c - [11]
143 p - [11]
144 p - [8]
145 c - [31]
146 c - [7]
147 c - [74]
148 p + [101]
149 p - [26]
150 c - [8]
151 c - [7]
152 c - [18]
153 p - [18]
154 p - [18]
155 c - [12]
156 c - [14]
157 c - [8]
158 p - [9]
159 p - [14]
160 c - [2]
161 c - [13]
162 c - [15]
163 p - [8]
164 p - [14]
165 c - [11]
166 c - [15]
167 c - [24]
168 p - [24]
169 p - [24]
170 c - [9]
171 c - [21]
172 l + [109]
173 p - [12]
174 p - [9]
175 c - [9]
176 c - [9]
177 c - [11]
178 p + [101]
179 p + [112]
180 c - [23]
181 c - [19]
182 l + [95]
183 p - [13]
184 p + [102]
185 l + [90]
186 l + [88]
187 c - [8]
188 p - [11]
189 p - [16]
190 c - [13]
191 c - [27]
192 c - [16]
193 p - [5]
194 p + [92]
195 l + [97]
196 l + [99]
197 c - [11]
198 p - [19]
199 p - [17]
200 c - [19]
201 c - [14]
202 c - [9]
203 p + [101]
204 p - [18]
205 c - [13]
206 c - [13]
207 c - [7]
208 p - [6]
209 p - [13]
210 c - [16]
211 c - [13]
212 c - [12]
213 p - [5]
214 p - [10]
215 c - [7]
216 c - [4]
217 c - [13]
218 p - [14]
219 p - [12]
220 c - [25]
221 c - [6]
222 c - [6]
223 p - [9]
224 p - [11]
225 c - [9]
226 c - [20]
227 c - [9]
228 p + [87]
229 p - [5]
230 c - [9]
231 c - [8]
232 c - [27]
233 p - [14]
234 p - [12]
235 c - [6]
236 c - [6]
237 c - [14]
238 p - [14]
239 p - [16]
240 c - [5]
241 c - [8]
242 c - [6]
243 p - [7]
244 p - [14]
245 c - [8]
246 c - [17]
247 c - [17]
248 p - [8]
249 p - [10]
250 c - [24]
251 c - [11]
252 c - [8]
253 p - [9]
254 p - [13]
255 c - [13]
256 c - [11]
257 c - [9]
258 p - [9]
259 p - [16]
260 c - [9]
261 c - [9]
262 c - [13]
263 p - [13]
264 p - [7]
265 c - [19]
266 c - [15]
267 c - [10]
268 c - [6]
269 c - [9]
270 c - [13]
271 c - [10]
272 c - [11]
273 c - [9]
274 c - [11]
275 c - [11]
276 c - [8]
277 c - [5]
278 c - [22]
279 c - [15]
280 c - [9]
281 c - [18]
282 c - [11]
283 c - [4]
284 c - [16]
285 c - [8]
286 c - [10]
287 c - [14]
288 c - [25]
289 c - [9]
290 c - [4]
291 c - [3]
292 c - [3]
293 c - [19]
294 c - [3]
295 c - [2]
296 c - [3]
297 c - [4]
298 c - [2]
299 c - [11]
300 c - [8]
301 c - [8]
302 c - [6]
303 c - [5]
304 c - [5]
305 c - [10]
306 c - [7]
307 c - [3]
308 c - [4]
309 c - [11]
310 c - [8]
311 c - [12]
312 c - [14]
313 c - [13]
314 c - [11]
315 c - [10]
316 c - [8]
317 c - [23]
318 c - [12]
319 c - [20]
320 c - [14]
321 c - [14]
322 c - [12]
323 c - [12]
324 c - [15]
325 c - [22]
326 c - [15]
327 c - [18]
328 c - [8]
329 c - [8]
330 c - [15]
331 c - [15]
332 c - [32]
333 c - [3]
334 c - [11]
335 c - [4]
336 c - [9]
337 c - [17]
338 c - [18]
339 p - [17]
340 c - [23]
341 c - [9]
342 c - [11]
343 c - [28]
344 c - [13]
345 c - [27]
346 c - [20]
347 l + [103]
348 l + [91]
349 c - [10]
350 c - [8]
351 c - [6]
352 c - [8]
353 c - [9]
354 c - [21]
355 c - [18]
356 c - [9]
357 c - [12]
358 c - [9]
359 c - [16]
360 c - [21]
361 c - [13]
362 c - [20]
363 c - [16]
364 c - [8]
365 c - [12]
366 c - [7]
367 c - [5]
368 c - [17]
369 c - [9]
370 c - [8]
371 c - [9]
372 c - [6]
373 c - [6]
374 c - [20]
375 c - [19]
376 c - [35]
377 c - [25]
378 c - [8]
