#TFM v1.0.8 by tritical
field = bottom
crc32 = e9620f7b
0 c - [49]
1 p - [25]
2 c - [30]
3 c - [18]
4 c - [12]
5 p - [29]
6 p - [20]
7 c - [38]
8 c - [14]
9 c - [9]
10 p - [30]
11 p - [25]
12 c - [17]
13 c - [17]
14 c - [22]
15 p - [31]
16 p - [32]
17 c - [21]
18 c - [21]
19 c - [15]
20 p + [116]
21 p - [33]
22 c - [31]
23 c - [17]
24 c - [3]
25 p - [2]
26 p - [26]
27 c - [21]
28 c - [15]
29 c - [15]
30 p - [13]
31 p - [29]
32 l + [83]
33 c - [16]
34 c - [6]
35 p - [15]
36 p - [18]
37 c - [7]
38 c - [17]
39 c - [39]
40 p - [19]
41 p + [88]
42 c - [22]
43 c - [15]
44 c - [31]
45 p - [27]
46 p - [49]
47 c - [16]
48 c - [8]
49 c - [17]
50 p - [80]
51 p - [32]
52 c - [36]
53 c - [37]
54 c - [22]
55 p - [15]
56 p - [26]
57 c - [25]
58 c - [13]
59 c - [13]
60 p - [11]
61 p - [16]
62 p - [5]
63 c - [4]
64 c - [39]
65 p - [26]
66 p - [23]
67 c - [27]
68 c - [7]
69 c - [13]
70 p - [15]
71 p - [26]
72 c - [15]
73 c - [17]
74 c - [8]
75 p - [31]
76 p - [26]
77 c - [23]
78 c - [29]
79 u - [16]
80 p - [16]
81 p - [40]
82 c - [7]
83 c - [60]
84 c - [30]
85 p - [24]
86 p - [34]
87 c - [66]
88 c - [10]
89 c - [35]
90 p + [86]
91 p - [31]
92 c - [29]
93 c - [34]
94 c - [65]
95 p - [23]
96 p - [17]
97 c - [18]
98 c - [17]
99 c - [13]
100 p - [17]
101 p - [36]
102 c - [35]
103 c - [32]
104 c - [13]
105 p - [26]
106 p - [38]
107 c - [16]
108 c - [13]
109 c - [14]
110 p - [20]
111 p - [24]
112 c - [58]
113 c - [17]
114 c - [20]
115 p - [33]
116 p - [29]
117 c - [16]
118 c - [22]
119 c - [18]
120 p - [17]
121 p - [11]
122 c - [15]
123 c - [16]
124 c - [42]
125 p - [28]
126 p - [34]
127 c - [16]
128 c - [14]
129 c - [8]
130 p - [8]
131 p - [19]
132 c - [15]
133 c - [23]
134 c - [16]
135 p - [30]
136 p - [22]
137 c - [13]
138 c - [15]
139 c - [40]
140 p - [36]
141 p - [44]
142 c - [17]
143 c - [16]
144 c - [35]
145 p + [88]
146 p - [18]
147 c - [9]
148 c - [29]
149 c - [39]
150 p - [27]
151 p - [18]
152 c - [8]
153 c - [15]
154 c - [16]
155 p - [13]
156 p - [44]
157 c - [26]
158 c - [33]
159 c - [10]
160 p - [8]
161 p - [14]
162 c - [27]
163 l + [86]
164 c - [11]
165 p - [13]
166 p - [10]
167 c - [11]
168 c - [13]
169 c - [19]
170 p - [38]
171 p - [23]
172 c - [15]
173 c - [8]
174 c - [20]
175 p - [19]
176 p - [21]
177 c - [12]
178 c - [24]
179 c - [8]
180 p - [25]
181 p + [85]
182 l + [87]
183 c - [32]
184 c - [31]
185 p - [17]
186 p - [68]
187 c - [10]
188 l + [85]
189 c - [27]
190 p - [13]
191 p - [20]
192 p - [22]
193 c - [9]
194 c - [13]
195 p - [23]
196 p - [16]
197 c - [26]
198 c - [53]
199 c - [73]
200 p - [28]
201 p - [27]
202 p - [31]
203 c - [18]
204 c - [32]
205 p - [15]
206 p + [89]
207 c - [16]
208 c - [26]
209 c - [12]
210 p - [19]
211 p - [35]
212 l + [83]
213 c - [23]
214 c - [19]
215 p - [19]
216 p - [12]
217 c - [47]
218 c - [33]
219 l + [82]
220 p + [82]
221 p + [83]
222 p - [14]
223 c - [8]
224 c - [15]
225 p - [37]
226 p - [10]
227 c - [21]
228 c - [22]
229 c - [11]
230 p - [11]
231 p - [19]
232 c - [22]
233 l + [96]
234 c - [30]
235 p - [61]
236 p - [29]
237 c - [19]
238 c - [9]
239 c - [18]
240 p - [25]
241 p - [16]
242 c - [12]
243 c - [24]
244 l + [81]
245 p - [28]
246 l + [256]
247 c - [19]
248 c - [60]
249 c - [15]
250 p - [13]
251 p - [45]
252 p - [11]
253 c - [17]
254 c - [16]
255 p - [26]
256 p + [84]
257 l + [83]
258 l + [83]
259 c - [80]
260 c - [29]
261 p - [47]
262 c - [13]
263 c - [10]
264 c - [26]
265 p - [14]
266 p + [81]
267 l + [84]
268 c - [18]
269 l + [82]
270 p - [80]
271 p + [81]
272 c - [16]
273 c - [36]
274 c - [27]
275 p - [22]
276 p - [24]
277 c - [7]
278 c - [13]
279 c - [62]
280 c - [10]
281 p - [39]
282 p - [80]
283 p + [84]
284 p + [81]
285 p - [35]
286 p + [85]
287 p - [23]
288 p + [81]
289 p + [81]
290 p - [39]
291 p - [21]
292 p - [31]
293 p - [33]
294 p - [21]
295 p - [46]
296 p - [37]
297 p - [44]
298 p - [33]
299 p - [58]
300 c - [1]
301 p - [0]
302 p - [0]
303 c - [0]
304 c - [2]
305 p - [6]
306 c - [12]
307 c - [2]
308 c - [0]
309 p - [1]
310 c - [2]
311 c - [2]
312 c - [2]
313 c - [2]
314 p - [1]
315 p - [2]
316 c - [2]
317 c - [16]
318 c - [18]
319 p - [2]
320 p + [82]
321 c - [46]
322 c - [80]
323 c - [80]
324 p - [51]
325 p - [16]
326 p - [2]
327 c - [8]
328 c - [4]
329 p - [80]
330 p - [13]
331 c - [15]
332 c - [16]
333 l + [81]
334 p + [81]
335 p - [6]
336 c - [45]
337 c - [3]
338 l + [82]
339 p - [26]
340 p - [11]
341 p - [6]
342 c - [6]
343 c - [25]
344 p + [96]
345 p + [96]
346 c - [58]
347 c - [15]
348 c - [12]
349 p - [5]
350 p - [13]
351 c - [8]
352 c - [4]
353 c - [4]
354 p - [18]
355 p - [6]
356 c - [16]
357 l + [96]
358 l + [83]
359 p + [97]
360 p - [5]
361 c - [4]
362 c - [19]
363 c - [38]
364 p - [28]
365 p - [19]
366 c - [18]
367 c - [10]
368 c - [14]
369 p - [5]
370 p - [7]
371 c - [22]
372 c - [12]
373 c - [8]
374 p - [29]
375 p - [12]
376 l + [96]
377 c - [12]
378 c - [22]
379 p - [19]
380 p - [16]
381 p - [11]
382 c - [5]
383 c - [18]
384 p - [16]
385 p - [24]
386 p - [6]
387 c - [13]
388 c - [5]
389 p - [10]
390 p - [19]
391 c - [4]
